Hãng Sản Xuất,Độ Dày,Trọng Lượng,khoi_luong,CPU,RAM,Bộ Nhớ,HDD,SSD,GPU,Dung Lượng Pin,Hệ Điều Hành,Mạng WiFi,Bluetooth,Âm Thanh,Bảo Mật,Đọc Thẻ,Mạng LAN,Bàn Phím,Màu Sắc,Chất Liệu,Cổng Giao Tiếp,Khe Cắm,Màn Hình,Phụ Kiện Đi Kèm,Khả Năng Nâng Cấp,Ổ Đĩa Quang,Đèn Led,Nguồn,Tính Năng Khác,Tên Sản Phẩm,Giá Bán,Loại Sản Phẩm,Mẫu Mã,Số Cổng Lưu Trữ Tối Đa,Kết Nối,Webcam,Camera,Kết Nối Không Dây,Giao Tiếp Mạng,NPU,Cổng IO,Cổng Xuất Hình,Loa,Năm Sản Xuất,Thiết Kế Chất Liệu Vỏ,Hệ Điều Hành Bản Quyền Đi Kèm,Phần Mềm Có Sẵn,Card Mở Rộng,Unnamed 161,Mãy Tính Xách Tay
Asus,31.71 x 22.20 x 1.99 ~ 1.99 cm,1.60 kg,,"Intel Core i5-12500H 2.5 GHz (18M Cache, up to 4.5 GHz, 4P+8E lõi)",,512GB M.2 NVMe PCIe 3.0 SSD,,,Intel® Iris® Xe Graphics,3 cell /50WHrs,Windows 11 Home,,,,,,,,bạc,,"1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-C support power delivery
2x USB 3.2 Gen 1 Type-A
1x HDMI 1.4
1x 3.5mm Combo Audio Jack",,"14 inches 2.8K (2880 x 1800)  90 Hz OLED 16:10, 90Hz 0.2ms, 600nits, 100% DCI-P3, Glossy display, Screen-to-body ratio: 86%, PANTONE Validated, VESA CERTIFIED Display HDR True Black 600",,,không,,,,Laptop Asus Vivobook 14 OLED A1405ZA-KM264W Bạc,15590000.0,Máy tính xách tay,Vivobook 14 OLED A1405ZA-KM264W Bạc,,"Wi-Fi 6E(802.11ax) (Dual band) 1*1, Bluetooth 5.0",720p HD Camera với nắp che vật lí,,,,,,,,,,,,,,
,,,1.7 kg,,,512GB SSD M.2 NVMe,,,AMD Radeon™ Graphics,3 cell 50 Wh,Windows 11 Home,"WiFi 802.11ac , Bluetooth 4.1",,SonicMaster,,,,Keyboard Laptop + Touchpad,,,"1 x USB Type C / Power Delivery , 2 x USB 3.2 , 1 x USB 2.0 , Audio combo",M.2 NVMe,"15.6"" ( 1920 x 1080 ) Full HD OLED không cảm ứng , HD webcam","Adapter, tài liệu, sách",,,,,,Laptop Asus VivoBook 15X OLED M3504YA-L1268W Đen,14790000.0,,VivoBook 15X OLED M3504YA-L1268W,2 x M.2 NVMe,,720p HD camera With privacy shutter,,,,,,,,,,,,,,
Asus,,,2.2 kg,"Intel Core i7-13620H (24M Cache, up to 4.9 GHz)",,512GB PCIe® 4.0 NVMe™ M.2 SSD,,,NVIDIA® GeForce RTX™ 4060 8GB GDDR6,4 Cell 90WHrs,Windows 11 Home,"802.11ax (2X2), Bluetooth 5.2",,,,,,,Xám,,"1 x RJ45 LAN port
1 x Thunderbolt™ 4 support DisplayPort™
1 x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery / G-SYNC
2 x USB 3.2 Gen 1 Type-A
1 x HDMI 2.1 FRL
1 x 3.5mm Combo Audio Jack",M.2 NVMe,"15.6 inch FHD (1920 x 1080) 16:9 IPS, 144Hz, 250nits, 75% NTSC, 100%sRGB, anti-glare display, G-Sync",Full box,,,,,,Laptop Asus TUF Gaming F15 FX507VV-LP181W Xám,33990000.0,,TUF Gaming F15 FX507VV-LP181W,2 x M.2 NVMe,,HD 720p,,,,,,,,,,,,,,
Lenovo,,"1,43 Kg",,Core i5 Raptor Lake 2.1 GHz Up to 4.6 GHz 8 Cores 12 Threads 12Mb Cache,16Gb (8Gb onboard + 1 khe rời) DDR4 3200,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,,,Intel UHD Graphics,Integrated 38Wh,Windows 11 Home,,,2 Loa,,,,,,,"1x Ethernet (RJ-45)
1x HDMI® 1.4b
1x Headphone / microphone combo jack (3.5mm)
1x Power connector
1x USB 2.0
1x USB 3.2 Gen 1
1x USB-C® 3.2 Gen 1 (support data transfer, Power Delivery 3.0 and DisplayPort™ 1.2)",,"14 inch FHD (1920x1080) IPS 300nits Anti-glare, 45% NTSC",,,,,,,Laptop Lenovo V14 G4 IRU 83A000BGVN Xám,12890000.0,Máy tính xách tay,V14 G4 IRU 83A000BGVN Xám,,11ac 2x2 + Bluetooth® 5.1 +100/1000M (RJ-45),HD 720p with Privacy Shutter,,,,,,,,,,,,,,
MSI,,,1.99 kg,,,SSD 2TB M.2 PCIe Gen4,,,Nvidia Geforce RTX 4090 16GB GDDR6 & MUX switch,99WHrs,Windows 11 Home,,,,,,,,Xám đen,,"1 x HDMI
2 x USB TypeC (support Thunderbolt™4 / DisplayPort / PowerDelivery)
1 x USB 3.2
Jack Audio™ 3.5mm",,16.0-inch (16:10) UHD+ 4K (3840*2400) pixel MiniLED IPS 100% DCI-P3 120Hz,Full box,,N/a,,,,Laptop MSI Creator 16 AI Studio A1VIG-078VN Xám đen,,,MSI Creator 16 AI Studio A1VIG-078VN,,,,FHD 1080P + FaceID,,,,,,,,,,,,,
MSI,,,1.99 kg,,,SSD 2TB M.2 PCIe Gen4,,,Nvidia Geforce RTX 4080 12GB GDDR6 & MUX switch,99WHrs,Windows 11 Home,,,,,,,,Xám đen,,"1 x HDMI
2 x USB TypeC (support Thunderbolt™4 / DisplayPort / PowerDelivery)
1 x USB 3.2
1 x DC-in
Jack Audio™ 3.5mm",,16.0-inch (16:10) UHD+ 4K (3840*2400) pixel MiniLED IPS 100% DCI-P3 120Hz,Full box,,N/a,,,,Laptop MSI Creator 16 AI Studio A1VHG -079VN Xám đen,,,MSI Creator 16 AI Studio A1VIG-078VN,,,,FHD 1080P + FaceID,,,,,,,,,,,,,
MSI,,,2.49 kg,,,SSD 2TB M.2 PCIe Gen4,,,Nvidia Geforce RTX 4070 8GB GDDR6,90WHrs,Windows 11 Home,,,,,,,,Xám,,"1 x HDMI
2 x USB TypeC (support Thunderbolt™4 / DisplayPort / PowerDelivery)
1 x USB 3.2
1 x DC-in
Jack Audio™ 3.5mm",,17.0-inch (16:10) QHD+ (2560*1600) IPS 100% DCI-P3 165Hz,Full box,,N/a,,,,Laptop MSI Creator Z17 HX Studio A14VGT-272VN Xám,,,Laptop MSI Creator Z17 HX Studio A14VGT-272VN Xám,,,,"FHD 1080P, FaceID",,,,,,,,,,,,,
MSI,,,2.49 kg,,,SSD 2TB M.2 PCIe Gen4,,,Nvidia Geforce RTX 4060 8GB GDDR6,90WHrs,Windows 11 Home,,,,,,,,Xám,,"1 x HDMI
2 x USB TypeC (support Thunderbolt™4 / DisplayPort / PowerDelivery)
1 x USB 3.2
1 x DC-in
Jack Audio™ 3.5mm",,17.0-inch (16:10) QHD+ (2560*1600) pixel IPS 100% DCI-P3 165Hz,Full box,,N/a,,,,Laptop MSI Creator Z17 HX Studio A14VFT-273VN Xám,,,MSI Creator Z17 HX Studio A14VFT-273VN,,,,HD 720P,,,,,,,,,,,,,
MSI,,,2.25 kg,,,SSD 1TB M.2 PCIe Gen4,,,Nvidia Geforce RTX 4060 6GB GDDR6 & MUX switch,65WHrs,Windows 11 Home,,,,,,,,,,"1 x HDMI
1 x USB TypeC 
3 x USB 3.2 & 2.0
1 x DC-in
Jack Audio™ 3.5mm",,16.0-inch QHD+ (2560*1600) pixel IPS 100% DCI-P3 240Hz,Full box,,N/a,,,,Laptop MSI Creator M16 HX C14VFG-040VN,,,MSI Creator M16 HX C14VFG-040VN,,,,HD 720P,,,,,,,,,,,,,
MSI,299 x 210 x 16.9 mm,0.99 kg,,Intel® Core Ultra 7-155H (Up to 4.8GHz) 16 Cores 22 Threads 24MB Cache,32GB Onboard LPDDR5 6400MHz,SSD 1TB M.2 PCIe Gen4,,,Intel® Arc Graphics,75WHrs Battery,Windows 11 Home,,,,N/a,MicroSD Reader Card,,Chiclet Keyboard LED trắng,Xám,,"1 x HDMI
2 x USB Type-C (support ThunderBolt™4 / Power Delivery)
1 x USB 3.2
1 x DC-in
Jack Audio™ 3.5mm",,13.3-inch QHD+ 2K8 (3840*1800) pixel OLED 100% DCI-P3,,,,,,,Laptop MSI Prestige 13 AI Evo A1MG-062VN Xám,33990000.0,Máy tính xách tay,MSI Prestige 13 AI Evo A1MG-062VN,,Wi-Fi 7 802.11be; Bluetooth 5.4,FHD 1080P FaceID,,,,,,,,,,,,,,
MSI,358 x 254 x 16.9 mm,1.6 kg,,Intel® Core Ultra 9-185H (Up to 5.1GHz) 16 Cores 22 Threads 24MB Cache,32GB Onboard LPDDR5 6400MHz,SSD 1TB M.2 PCIe Gen4,,,Nvidia Geforce RTX 4060 8GB GDDR6,99WHrs Battery,Windows 11 Home,,,,N/a,MicroSD Reader Card,,Chiclet Keyboard LED trắng,,,"1 x HDMI
2 x USB Type-C (support DisplayPort / Power Delivery)
1 x USB 3.2
1 x DC-in
Jack Audio™ 3.5mm",,16.0-inch (16:10) UHD+ 4K (2880*2400) pixel OLED 100% DCI-P3,,,,,,,Laptop MSI Prestige 16 AI Studio B1VFG-082VN,55990000.0,Máy tính xách tay,MSI Prestige 16 AI Studio B1VFG-082VN,,Wi-Fi 7 802.11be; Bluetooth 5.4,FHD 1080P FaceID,,,,,,,,,,,,,,
MSI,355.8 x 259.7 x 19.95 mm,1.99 kg,,Intel Core Ultra 9 185H (Up to 5.1Ghz) 16 Cores 22 Threads,32GB (1x32GB) DDR5 5600MHz,2TB SSD NVMe PCIe Gen4x4,,,NVIDIA GeForce RTX 4070 8GB GDDR6,99.9Whr,Windows 11 Home,,,"2x 2W Speaker
4x 2W Woofer",,,,Per-Key RGB Gaming Keyboard by SteelSeries,,,"1x Type-C (USB3.2 Gen2 / DP)
1x Type-C (USB / DP / Thunderbolt™ 4) with PD charging
1x Type-A USB3.2 Gen2
1x Micro SD Card Reader
1x HDMI 2.1 (8K @ 60Hz / 4K 120Hz)
1x RJ45
1x Mic-in/Headphone-out Combo Jack",,"16"" QHD+(2560 x 1600), 16:10, 240Hz, 100% DCI-P3, IPS",,,không,,,,Laptop MSI Stealth 16 AI Studio A1VGG-089VN Xanh,,Máy tính xách tay,MSI Stealth 16 AI Studio A1VGG-089VN,,Intel Killer BE Wi-Fi 7 + Bluetooth 5.4; Killer Gb LAN (Up to 2.5G),"IR FHD type (30fps@1080p) with HDR
3D Noise Reduction+ (3DNR+)",,,,,,,,,,,,,,
MSI,359 x 266.4 x 21.8-~27.7 mm,2.3 kg,,Intel® Core i7-14700HX Processor (Up to 5.5GHz) 8P+12E 20 Cores 28 Threads,16GB (1x16GB) DDR5 5600MHz,1TB M.2 PCIe 4.0 x4,,,NVIDIA® GeForce RTX™ 4070,65WHr,Windows 11 Home,,,,N/a,,,Chiclet Keyboard RGB LED,,,"1x Type-C (USB3.2 Gen2 / DP) with PD charging
3x Type-A USB3.2 Gen1
1x HDMI™ 2.1 (8K @ 60Hz / 4K @ 120Hz)
1x LAN RJ45
1x Mic-in/Headphone-out Combo Jack",,"16 Inch QHD+ 16:10 (2560x1600), 240Hz, IPS, 100% DCI-P3",,,không,,,,Laptop MSI Sword 16 HX B14VGKG-038VN,,Máy tính xách tay,Laptop MSI Sword 16 HX B14VGKG-038VN,,"Wi-Fi 6E AX211; Bluetooth 5.3, LAN RJ45 Gigabit","HD Webcam (30fps@720p)
3D Noise Reduction (3DNR)",,,,,,,,,,,,,,
MSI,359 x 254 x 21.5 mm,1.85 kg,,"Intel® Core i7-13620H Gen 13th(tốc độ tối đa: 4.9GHz, 24MB cache)",8GB DDR4 3200MHz,,,,SSD 512GB M.2 PCIe Gen4,53WHrs Battery,Windows 11 Home,Intel® Wi-Fi 6E AX211,,,,,,,Đen,,"1 x HDMI
1 x USB TypeC (support DisplayPort / PowerDelivery)
3 x USB 3.2 & USB 2.0
1 x DC-in
Jack Audio™ 3.5mm",,"15.6 inch FHD (1920 x 1080) 144Hz, IPS-Level",,,,,,,Laptop MSI Thin 15 B13UC-1411VN Xám,18790000.0,,MSI Thin 15 B13UC-1411VN,,,HD 720P,,,,,,,,,,,,,,
MSI,359 x 254 x 21.7 mm,1.86 kg,,"Intel® Core™ i5-12450H (2.20GHz up to 4.40GHz, 12MB cache)","8GB DDR4 3200MHz (2 Slots, Max 64GB)",,,,512GB NVMe PCIe SSD Gen4x4 w/o DRAM,3Cell 52.4Whrs,Windows 11 Home,Intel® Wi-Fi 6E AX211,,,,,,,Đen,,"1 x Type-C (USB3.2 Gen2 / DP) with PD charging
3 x Type-A USB3.2 Gen1
1 x HDMI™ 2.1 (8K @ 60Hz / 4K @ 120Hz)
1 x RJ45
1 x Mic-in,
1 x Headphone-out",,"15.6 inch FHD (1920 x 1080) 144Hz, 45%NTSC, IPS-Level",,,,,120W,,Laptop MSI Thin 15 B12UC-1416VN Xám,17490000.0,,MSI Thin 15 B12UC-1416VN,,,,,,,,,,,,,,,,,
MSI,359 x 259 x 24.9 mm,2.25 kg,,"AMD Ryzen 7-8840H (3.30GHz up to 5.10GHz, 16MB Cache)","16GB (8GBx2) DDR5 5200MHz (2 slots, up to 64GB)",512GB NVMe PCIe SSD Gen4x4 w/o DRAM,,,NVIDIA GeForce RTX 4060 8GB GDDR6,3Cell 53.5Whr,Windows 11 Home,,,,,,,,,,"1 x Mic-in/Headphone-out Combo Jack I/O PORTS
1 x Type-C (USB3.2 Gen1 / DP)
2 x Type-A USB3.2 Gen1
1 x Type-A USB2.0 1
1 x HDMI™ 2.1 (8K @ 60Hz / 4K @ 120Hz)
1 x RJ45",,"15.6inch FHD (1920 x 1080), 144Hz, 45%NTSC, IPS-Level",,,không,,,,Laptop MSI Katana A15 AI B8VF-419VN Đen,28490000.0,Máy tính xách tay,Katana A15 AI B8VF-419VN,,Wi-Fi 6 802.11 ax  + Bluetooth 5.2,HD type (30fps@720p),,,,,,,,,,,,,,
MSI,359 x 254 x 21.7 mm,1.86 kg,,"Intel® Core™ i5-12450H (2.20GHz up to 4.40GHz, 12MB cache)","8GB DDR4 3200MHz (2 Slots, Max 64GB)",,,,512GB NVMe PCIe SSD Gen4x4 w/o DRAM,3Cell 52.4Whrs,Windows 11 Home,Intel® Wi-Fi 6E AX211,,,,,,,Đen,,"1 x Type-C (USB3.2 Gen2 / DP) with PD charging
3 x Type-A USB3.2 Gen1
1 x HDMI™ 2.1 (8K @ 60Hz / 4K @ 120Hz)
1 x RJ45
1 x Mic-in,
1 x Headphone-out",,"15.6 inch FHD (1920 x 1080) 144Hz, 45%NTSC, IPS-Level",,,,,120W,,Laptop MSI Thin 15 B12UCX-1419VN Xám,15450000.0,,MSI Thin 15 B12UCX-1419VN,,,,,,,,,,,,,,,,,
Lenovo,,,2.24 kg,,,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe,,,NVIDIA® GeForce RTX™ 4070 8GB GDDR6,99.99 WHr,Windows 11 Home,,,,,,,,Trắng,,"1x USB-A (USB 5Gbps / USB 3.2 Gen 1)
1x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On
1x USB-C® (USB 5Gbps / USB 3.2 Gen 1)
1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with Lenovo® PD 140W and DisplayPort™ 1.4
1x USB-C® (Thunderbolt™ 4 / USB4® 40Gbps), with PD 140W and DisplayPort™ 1.4
1x HDMI® 2.1, up to 8K/60Hz
1x Headphone / microphone combo jack (3.5mm)
1x Card reader
1x Power connector",,"16"" 3.2K (3200x2000) IPS 430nits Anti-glare, 100% DCI-P3, 165Hz, Dolby® Vision®, G-SYNC®, Low Blue Light",Full box,,N/a,,,,Laptop Lenovo gaming Legion 7 16IRX9 83FD006JVN Trắng,64400000.0,,Legion 7 16IRX9 83FD006JVN,,,,FHD 1080p with E-shutter,,,,,,,,,,,,,
Acer,,,,"Intel Core i9-13900H (up to 5.40 GHz, 14 nhân, 20 luồng, 24MB)","16GB DDR5 5200MHz (2 khe, cắm sẵn 16GB, tối đa 64GB)",512GB PCIe NVMe SSD (nâng cấp tối đa 4 TB SSD),,,NVIDIA® GeForce RTX™ 4060 with 8 GB of dedicated GDDR6 VRAM (AI TOPS: 233),4 cell - 57 Wh,Windows 11 Home,,,,,,,,Đen,,"1 x USB Type-C™ port supporting:
• USB 3.2 Gen 2 (up to 10 Gbps)
• DisplayPort over USB-C
• Thunderbolt™ 4
• USB charging 5 V; 3 A
• DC-in port 20 V; 65 W
3 x USB Standard-A ports, supporting:
• One port for USB 3.2 Gen 1 featuring power off USB charging
• Two ports for USB 3.2 Gen 1
1 x HDMI® 2.1 port with HDCP support
1 x 3.5 mm headphone/speaker jack, supporting headsets with built-in
microphone
1 x Ethernet (RJ-45) port
1 x DC-in jack for AC adapter
1xHDMI 2.1 port with HDCP support
1x3.5 mm headphone/speaker jack, supporting headsets with built-in microphone",,"15.6 inch FHD (1920 x 1080) IPS 144Hz SlimBezel, Acer ComfyView",,,,,,,Laptop Acer Gaming Nitro V ANV15-51-91T5,31290000.0,,NH.QQESV.009,,,,"Video conferencing
UFC with
• T-Type HD camera
• Compatible with Windows only
• 1280 x 720 resolution
• 720p HD video at 30 fps with Temporal Noise Reduction
• Blue Glass lens
• Dual Mic (33 mm + 33 mm)
• 78 x 3.2 (5.2) x 3 mm","WLAN
• 802.11a/b/g/n/ac+ax wireless LAN
• Dual Band (2.4 GHz and 5 GHz)
• 2x2 MU-MIMO technology
• Supports Bluetooth 5.1 or above
LAN
• Gigabit Ethernet",,,,,,,,,,,,
Asus,35.68 x 22.76 x 1.99 ~ 1.99 cm,1.7 kg,,"Intel® Core™ i7-13700H (2.40GHz up to 5.00GHz, 24MB Cache)",,"512GB M.2 NVMe™ PCIe® 3.0 SSD (1 slot, support M.2 2280 PCIe 3.0x4)",,,Intel® Iris® Xe Graphics,"3Cell 50WHrs,",Windows 11 Home,,,,,,,,Bạc,,"1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-C support power delivery
2x USB 3.2 Gen 1 Type-A
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x DC-in",,"OLED 16:9, 120Hz 0.2ms, 600nits, 100% DCI-P3, Glossy display, Screen-to-body ratio: 86%, PANTONE Validated, VESA CERTIFIED Display HDR True Black 600",,,không,,,,Laptop Asus Vivobook 15 OLED A1505VA-MA492W Bạc,19990000.0,Máy tính xách tay,Vivobook 15 OLED A1505VA-MA492W,,"Wi-Fi 6E(802.11ax) (Dual band) 1*1, Bluetooth 5.0",720p HD camera With privacy shutter,,,,,,,,,,,,,,
Lenovo,,,2.3 kg,,,512GB SSD M.2 2280 PCIe® 4.0x4 NVMe,,,NVIDIA® GeForce RTX™ 4060 8GB GDDR6,80Wh,Windows® 11 Home,,,,,,,4-Zone RGB Backlit,Xám,,"1x USB-A (USB 10Gbps / USB 3.2 Gen 2), Always On
1x USB-A (USB 10Gbps / USB 3.2 Gen 2)
1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with PD 140W and DisplayPort™ 1.4
1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with DisplayPort™ 1.4
1x HDMI® 2.1, up to 8K/60Hz
1x Headphone / microphone combo jack (3.5mm)
1x Ethernet (RJ-45)
1x Card reader
1x Power connector",,"16"" WQXGA (2560x1600) IPS 350nits Anti-glare, 100% sRGB, 165Hz, Dolby® Vision®, G-SYNC®, Free-Sync Premium, Low Blue Light",,,N/a,,,,Laptop Lenovo Legion Slim 5 16AHP9 83DH003AVN Xám,39800000.0,,Legion Slim 5 16AHP9 83DH003AVN,,,FHD 1080p with E-shutter,,,,,,,,,,,,1x Card reader,,
Lenovo,,,2.38 kg,,,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe,,,NVIDIA® GeForce RTX™ 4050 6GB GDDR6,4Cell 60WHrs,Windows® 11 Home,,,,,,,,Xám,,"3x USB-A (USB 5Gbps / USB 3.2 Gen 1)
1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with Lenovo® PD 140W and DisplayPort™ 1.4
1x HDMI® 2.1, up to 8K/60Hz
1x Headphone / microphone combo jack (3.5mm)
1x Ethernet (RJ-45)
1x Power connector",,"15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC",,,,,,,Laptop Lenovo LOQ 15ARP9 83JC003VVN Xám,23990000.0,,LOQ 15ARP9 83JC003VVN,,,HD 720p with E-shutter,,,,,,,,,,,,,,
Dell,358.5 x235.56x 18.9 mm,1.9 kg,,"Intel Core i5-1235U Processor (12MB Cache, up to 4.4 GHz)",,"512GB SSD NVMe PCIe (1 Slot, có thể tháo ra lắp thanh khác tối đa 2TB)",,,Intel Iris Xe Graphics,"3-cell Li-ion, 41 Wh",Windows 11 Home,,,,,,,,,,"1 USB 3.2 Gen 1 Type-C® port with DisplayPort 1.4 (on 12th Gen Processor configured with Type-C®)
2 USB 3.2 Gen 1 ports (on systems configured with non Type-C®)
1 USB 2.0 port
1 Power Jack
1 headset (headphone and microphone combo) port
1 HDMI 1.4 port (Maximum resolution supported over HDMI is 1920x1080 @60Hz. No 4K/2K output)",,"15.6 Inch FHD (1920 x 1080),120Hz, Anti- Glare LED Backlit Narrow Border Display",,,,,,,Laptop Dell Inspiron 3520 N5I5052W1 Bạc,15490000.0,Máy tính xách tay,Inspiron 3520 N5I5052W1,,"Wi-Fi 6 802.11ax , Bluetooth 5.2",720p at 30 fps HD camera Single integrated microphone,,,,,,,,,,,,,,
Lenovo,,1.48 kg,,"Intel® Core™ Ultra 5 125H (1.20GHz up to 4.50GHz, 18MB Cache)",16GB Soldered LPDDR5x-7467MHz,1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®,,,Intel® Arc™ Graphics,3Cell 57Wh,Windows® 11 Home,,,,,,,,,,"1 x USB-A (USB 5Gbps / USB 3.2 Gen 1)
1 x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On
2 x USB-C® (USB 5Gbps / USB 3.2 Gen 1), with USB PD 3.0 and DisplayPort™ 1.4
1 x HDMI® 1.4b
1 x Headphone / microphone combo jack (3.5mm)",,"14.0 inch WUXGA (1920x1200) OLED, 400nits, Glossy, 100% DCI-P3, DisplayHDR™ True Black 500",,,,,,,Laptop Lenovo Ideapad Slim 5 14IMH9 83DA006TVN Xám,21890000.0,Máy tính xách tay,14IMH9 83DA006TVN,,"Wi-Fi® 6, 11ax 2x2, Bluetooth 5.2","FHD 1080p + IR with Privacy Shutter, ToF Sensor",,,,,,,,,,,,,,
Asus,,,2.0 Kg,"Intel Core i7-13620H ( 2.4 GHz - 4.9 GHz / 24MB / 10 nhân, 16 luồng )",16GB Onbard DDR4 4800MHz ( 1 Khe cắm / Hỗ trợ tối đa 48GB ),512GB SSD M.2 NVMe,,,RTX 4050 6GB GDDR6,"4-cell, 90WHrs",Windows 11 Home,,,,,,,,Xám,,"1x Thunderbolt™ 4 support DisplayPort™ / power delivery
1x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery
2x USB 3.2 Gen 2 Type-A
1x card reader (microSD) (UHS-II)
1x HDMI 2.1 FRL
1x 3.5mm Combo Audio Jack",,"16"" QHD+ 16:10 (2560 x 1600, WQXGA) 240Hz IPS 500nits 100% DCI-P3 %, Anti-glare display",Full box,,,,,,Laptop Asus Gaming ROG Zephyrus G16 GU603VU-N4019W Xám,41890000.0,,ROG Zephyrus G16 GU603VU-N4019W,,,,,,,,,,,,,,,,,
,,,2.5 kg,,,512GB PCIe® 4.0 NVMe™ M.2 SSD (2 slot M.2 SSD),,,"NVIDIA® GeForce RTX™ 4060 8GB GDDR6 ROG Boost: 2420MHz* at 140W (2370MHz Boost Clock+50MHz OC, 115W+25W Dynamic Boost)",4 Cell 90WHrs,Windows 11 Home,"Wi-Fi 6E(802.11ax) (Triple band) 2*2, bluetooth v5.3",,"2-speaker system with Smart Amplifier Technology, Dolby Atmos",,,10/100/1000 Mbps,,,,"2x USB 3.2 Gen 2 Type-A
1x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery / G-SYNC
1x RJ45 LAN port
1x Thunderbolt™ 4 support DisplayPort™
1x 3.5mm Combo Audio Jack
1x HDMI 2.1 FRL",,"16"" WQXGA (2560 x 1600) 16:10 IPS 2.5K, 240Hz, 3ms, 100% DCI-P3, Anti-Glare, G-Sync, đạt chuẩn Pantone, ROG Nebula Display",,,,,,,"Laptop Asus ROG Strix G16 G614JV-N4156W Xám  QHD+, IPS 240Hz, W11SL",37590000.0,,Asus ROG Strix G16 G614JV-N4156W,,,720P HD camera,,,,,,,,,,,,,,
MSI,359 x 254 x 21.5 mm,1.85 kg,,Intel® Core i5-12450H Gen 12th tốc độ tối đa: 4.4GHz 8 Cores 12 Threads 12MB Cache,8GB DDR4 3200MHz,,,,SSD 512GB M.2,52WHrs,Windows 11 Home,Wi-Fi 6 802.11ax,,,,,,,Đen,,"1 x HDMI
1 x USB Type-C (support DisplayPort)
3 x USB 3.2 & USB 2.0
1 x DC-in
Jack Audio™ 3.5mm",,"15.6"" FHD (1920 x 1080) 144Hz, IPS",,,,,,,Laptop MSI Gaming GF63 12UC-803VN,16890000.0,,MSI GF63 12UC-803VN,,,HD 720P,,,,,,,,,,,,,,
Asus,,,2.20 Kg,"Intel Core i5-12500H (upto 4.50 GHz, 18MB)","16GB (2x8GB) DDR4-3200 (2 khe, tối đa 32GB)",512GB SSD M2 PCIe® 4.0 NVMe,,,NVIDIA® GeForce RTX™ 3050 4GB GDDR6,"4-cell, 56WHrs",Windows 11 Home,,,,,,,,Xám,,"1x Thunderbolt™ 4 support DisplayPort™
1x USB 3.2 Gen 2 Type-C support DisplayPort™ / G-SYNC
2x USB 3.2 Gen 1 Type-A
1x HDMI 2.1 
1x 3.5mm Combo Audio Jack",,"15.6-inch FHD (1920 x 1080) 16:9, 144Hz, Value IPS-level, 250 nits, SRGB 63%, anti-glare display",,,,,,,Laptop Asus TUF Gaming FX507ZC4-HN095W Xám,19990000.0,,TUF Gaming FX507ZC4-HN095W,,,,720P HD camera,,,,,,,,,,,,,
Lenovo,,1.49 kg,,"Intel® Core™ Ultra 7 155H (1.40GHz up to 4.80GHz, 24MB Cache)",16GB Soldered LPDDR5x-7467MHz,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,,,Integrated Intel® Arc™ Graphics,71WHrs,Windows® 11 Home Single Language + Office Home & Student 2021 bản quyền,,,,,,,,,,"1 x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On
2 x USB-C® (Thunderbolt™ 4 / USB4® 40Gbps), with USB PD 3.1 and DisplayPort™ 2.1
1 x HDMI® 2.1, up to 4K/60Hz
1 x Headphone / microphone combo jack (3.5mm)",,"14.0inch WUXGA (1920x1200) OLED, 400nits, Glossy, Anti-fingerprint, 100% DCI-P3, 60Hz, Dolby® Vision®, DisplayHDR™ True Black 500, TÜV Low Blue Light, Glass, Touch - Màn hình cảm ứng",,,,,,,Laptop Lenovo Yoga 7 2 in1 14IML9 83DJ001FVN Xám,28490000.0,Máy tính xách tay,14IML9 83DJ001FVN,,"Wi-Fi® 6E, 11ax 2x2; Bluetooth 5.3",FHD 1080p + IR with Privacy Shutter,,,,,,,,,,,,,,
