Tên sản phẩm,Giá bán,Bộ vi xử lý - Công nghệ CPU,Bộ vi xử lý - Số hiệu CPU,Bộ vi xử lý - Số nhân,Bộ vi xử lý - Số luồng,Bộ vi xử lý - Xung nhịp cơ bản,Bộ vi xử lý - Xung nhịp tối đa,Bộ vi xử lý - Bộ nhớ đệm,Đồ họa và Âm thanh - Card on-board,Đồ họa và Âm thanh - Card đồ hoạ rời,"Bộ nhớ RAM, Ổ cứng - RAM","Bộ nhớ RAM, Ổ cứng - Loại RAM","Bộ nhớ RAM, Ổ cứng - Tốc độ Bus","Bộ nhớ RAM, Ổ cứng - Số khe RAM trống","Bộ nhớ RAM, Ổ cứng - Khả năng nâng cấp RAM","Bộ nhớ RAM, Ổ cứng - Ổ cứng mặc định","Bộ nhớ RAM, Ổ cứng - Khả năng nâng cấp ổ cứng",Màn hình - Số lượng màn hình,Màn hình - Kích thước màn hình,Màn hình - Độ phân giải,Màn hình - Loại tấm nền,Màn hình - Công nghệ màn hình,Màn hình - Hỗ trợ cảm ứng,Màn hình - Tần số quét,Bàn phím & Touchpad - Bàn phím,Bàn phím & Touchpad - Đèn nền bàn phím,Bàn phím & Touchpad - Chuột / Touchpad,Cổng kết nối & tính năng mở rộng - Các cổng giao tiếp,Cổng kết nối & tính năng mở rộng - Kết nối không dây,Phần mềm - Hệ điều hành,Kích thước & trọng lượng - Kích thước,Kích thước & trọng lượng - Trọng lượng,Pin và Sạc - Dung lượng pin,Pin và Sạc - Bộ sạc theo máy,Thông tin khác - Thời điểm ra mắt,Thông tin khác - Chất liệu,Camera - Camera,Đồ họa và Âm thanh - Công nghệ âm thanh,Phần mềm - Phần mềm sẵn có,Thông số kỹ thuật - Keycap (bàn phím),Kết nối & Tương thích - Cổng giao tiếp,Màn hình - Chuẩn màn hình,Thông số kỹ thuật - Loại Switch,Thông số kỹ thuật - Chất liệu,Tiện ích - Tiện ích,Thông số kỹ thuật - Đèn LED
"Laptop Asus ExpertBook P2451FA-EK3299T, i3-10110U/4GB/256GB-SSD/14.0FHD/W10SL/ĐEN - Chính hãng","7,290,000 ₫",Intel Core i3,i3-10110U,2,4,2.1 GHz,4.1 GHz,4M,Intel® UHD Graphics,GPU tích hợp,4GB,DDR4,2666 MHz,1 khe,32GB,256GB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 1 TB)",1,14 inch,1920x1080,IPS,Màn hình chống lóa LCD,None,60Hz,Full-size,Không có đèn nền,Multi-touch touchpad,"inch1x USB 2.0 Type-A
1x USB 3.2 Gen 2 Type-C support display / power delivery
2x USB 3.2 Gen 1 Type-A//1x HDMI 1.4
1x VGA Port (D-Sub)
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet
1x DC-in//Micro SD card reader inch","Wi-Fi 6
Bluetooth v5.2",Windows 10 Home SL,32.53 x 23.29 x 1.99 ~ 1.99 cm,1.514 kg,3 Cells 48WHr,,2020,Nhôm - Nhựa,720p HD camera có nắp che webcam vật lí,"Loa tích hợp
Micrô dãy tích hợp",,,DDR4 SO-DIMM,,,,,
"Laptop Asus VivoBook A415EA-EB1750W - (i3-1125G4/RAM 8GB/256GB/14"" FHD/Win 11 Home) - Chính hãng","8,490,000 ₫",Intel Core i3,1125G4,4,8,2.00 GHz,3.7 Ghz,8 MB Intel® Smart Cache,Đang cập nhật,GPU tích hợp,8GB,DDR4,3200 MHz,Không,Không hỗ trợ nâng cấp,256GB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 1 TB)",1,14 inch,1920x1080,IPS LCD,"Anti-Glare, 45% NTSC",Không,60Hz,Chiclet Keyboard,Không,Multi-touch touchpad,"1 × HDMI 1.4
1 Type C
2 USB 2.0
1 USB 3.0
1 Card reader
1 DC-in jack
1 Jack 3.5 mm",Bluetooth v5.0,Windows 11 Home,17.9 x 324 x 214 mm,1.4kg,"3 cell, 42WHrs",45W AC Adapter,2022,Vỏ nhựa,HD Webcam (720p Webcam),Asus SonicMaster stereo,Đang cập nhật,,,,,,,
"Laptop HP ProBook 450 G9 - 6M103PA, i7-1260P/8GB/512GB/Intel Graphics/15.6""FHD/Win11Home - Chính hãng","19,990,000 ₫",Intel Core i7,i7 - 1260P,12,16,3.4GHz,4.7GHz,18MB,Intel Iris Xe Graphics,GPU tích hợp,8GB,DDR4,3200MHz,None,32GB tổng 2 khe,512GB SSD,Chuẩn M.2 PCIe,1,15.6 inch,1920x1080,IPS,"IPS, độ sáng 250 nits",None,60Hz,Bàn phím tiêu chuẩn,Đèn nền bàn phím,Multi-touch touchpad,"3 x USB 3.2 Gen1 Type-A
1 x USB 3.2 Gen1 Type-C
1 x HDMI 2.1b
1 x RJ45
1 x Mic-in/ Headphone-out combo jack","Wi-Fi 6E
Bluetooth v5.2",Windows 11 Home,"359.4 x 233.9 x 19.9 mm
1.74 kg",1.74 kg,45Wh,,2023,Vỏ kim loại,720P HD,2 loa,,,DDR4,,,,,
"Máy tính xách tay Asus Zenbook 14X OLED UM5401QA-KN209W (R5-5600H/8GB/512GB/AMD Radeon /14"" OLED 2.8K Touch/Win11/Jade Black) - Chính hãng","16,990,000 ₫",AMD Ryzen 5,R5 - 5600H,,,,,,,GPU tích hợp,8GB,LPDDR4X,,None,Không hỗ trợ nâng cấp,512GB SSD,,,14 inch,2880x1800,OLED,,,90Hz,Bàn phím tiêu chuẩn,,Multi-touch touchpad,,,,,1.4kg,,,,,,,,,,,,,,
"Laptop ASUS Vivobook 14 X1404ZA-NK300W (i3-1215U/8GB/256GB/Intel UHD/14"" FHD/Windows 11) - Chính hãng","9,290,000 ₫",Intel Core i3,i3 - 1215U,6,8,1.2 GHz,4.4 GHz,10MB,Intel UHD Graphics,GPU tích hợp,8GB,DDR4,3200Mhz,1 khe,16GB,256GB SSD,Nâng cấp bộ nhớ mặc định lên dung lượng cao hơn,1,14 inch,1920x1080,LED,"Đèn nền LED
Tần số làm mới 60Hz
250nits
Dải màu 45% NTSC
Màn hình chống chói
Được chứng nhận bởi TÜV Rheinland",None,60Hz,Bàn phím tiêu chuẩn,Không,Multi-touch touchpad,"1x USB 2.0 Loại A
1x USB 3.2 Thế hệ 1 Loại C
2x USB 3.2 Thế hệ 1 Loại A
1x HDMI 1.4
1x Giắc Âm thanh Kết hợp 3,5 mm
1x Nguồn vào DC","Wi-Fi 6E
Bluetooth v5.3",Windows 11 Home,32.49 x 21.39 x 1.79 ~ 1.79 cm,1.40kg,42WHrs,,2023,Nhựa,720p HD,"SonicMaster
Loa tích hợp
Micrô array tích hợp",,,DDR4,,,,,
"Laptop Dell Inspiron 15 3530 (N3530I716W1) - (i7-1355U/16GB/512GB/MX550/15.6"" FHD/Windows 11 + Office) - Chính hãng","22,190,000 ₫",Intel Core i7,i7 - 1355U,10,12,1.70 GHz,5.00 GHz,12MB,Card tích hợp - Intel Iris Xe Graphics,MX550,16GB,DDR4,3200 MHz,Không,16GB,512GB SSD,Có thể thay thế SSD dung lượng cao hơn,1,15.6 inch,1920x1080,WVA,"Chống chói Anti Glare
LED Backlit
250 nits",Không,120Hz,Bàn phím tiêu chuẩn,LED Trắng,Multi-touch touchpad,"1 × USB-A 3.2 Gen 1
1 × USB-C 3.2 Gen 1
1 × USB-A 2.0 port ​
1 × Jack tai nghe
1 × HDMI 1.4
1 × SD 3.0","Wi-Fi 6
Bluetooth v5.3",Windows 11 Home,358.50 x 234.90 x 17.50 mm,1.65kg,54 Wh,,2023,Vỏ nhựa,FHD (1080p),Loa kép 2 × 2W,Office Home & Student 2021 vĩnh viễn,2 GB GDDR6,DDR4,,,,,
Laptop Lenovo IdeaPad Slim 5 14Q8X9 (83HL000KVN) (Snapdragon X1P42100/16GB/512GB/14 WUXGA/Win11/Xám) - Chính hãng,"22,790,000 ₫",Snapdragon X Plus,Snapdragon X Plus X1P-AZ-100,8,,2.3GHz,3.4GHz,30MB,Integrated Qualcomm Adreno GPU,GPU tích hợp,16GB,LPDDR5X,8484 MHz,Không,Không hỗ trợ nâng cấp,512GB SSD,"One drive slot, up to 1TB M.2 2242 SSD",1,14 inch,1920x1200,OLED,"400nits Glossy, 100% DCI-P3",Không,60Hz,Bàn phím tiêu chuẩn,,Buttonless Mylar surface multi-touch touchpad,"1x HDMI™ 2.1
1x Headphone / Microphone combo jack (3.5mm)
1x microSD card reader
1x USB-A (USB 5Gbps)
1x USB-A (USB 5Gbps, Always On)
2x USB-C® (USB 10Gbps, USB PD 3.0, DisplayPort™ 1.4)","Wi-Fi 7
Bluetooth 5.4",Windows 11 Home SL,312 x 221 x 16.9 mm,1.48 kg,57Wh,65W USB-C® Slim (Wall-mount),09/2024,,FHD 1080p with Privacy Shutter,"High Definition (HD) Audio, Dolby Audio™",,,,WUXGA,,,,
"Laptop HP Pavilion 15 eg2038TX-6K784PA (i5-1235U/8GB/256GB/MX550/15.6"" FHD/Windows 11) - Chính hãng","13,790,000 ₫",Intel Core i5,i5 - 1235U,10,12,1.3 GHz,4.4 GHz,12M Cache,Card đồ họa tích hợp,MX550,8GB,DDR4,3200Mhz,None,Đang cập nhật,256GB SSD,Đang cập nhật,1,15.6 inch,1920x1080,IPS,"Micro-edge, BrightView, độ sáng 250 nits, và bao phủ màu 45% NTSC.",None,Đang cập nhật,Full-size có phím số,Không có,Cảm ứng đa điểm,"1 cổng USB Type-C
2 cổng USB Type-A
1 cổng HDMI 2.1
1 cổng tai nghe 3.5mm","Wi-Fi 6
Bluetooth 5.2",Windows 11 Home,36.02 x 23.4 x 1.79 cm,1.74 kg,"3-cell, 41 Wh Li-ion",,2022,Kim loại,720p HD,Đang cập nhật,,,,,,,,
Laptop ASUS TUF Gaming A15 FA506IHRB-HN019W -R5-4600H/8GB /512GB/GTX 1650 4GB/15.6-inch FHD 144Hz /Win 11/Đen) - Chính hãng,"13,990,000 ₫",AMD Ryzen 5,R5 - 4600H,6,12,3.00 GHz,4.0GHz,8 MB,AMD Radeon™ Graphics,GTX 1650,8GB,DDR4,3200Mhz,1 khe,32 GB,512GB SSD,"Có thể tháo SSD ra, lắp thanh khác tối đa 1 TB. Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 1 TB)",1,15.6 inch,1920x1080,IPS,"Anti-Glare LED-Backlit Display, độ tương phản 1000:1, tỷ lệ 16:09, độ phủ màu 45% NTSC, độ sáng 250 nits",None,144Hz,Full-size,Keyboard 1-Zone RGB with Num-key,Multi-touch touchpad,"1 HDMI 2.0
1 Jack 3.5 mm
1 LAN
1 Type C
3 USB 3.2","802.11 ax
Bluetooth v5.1",Windows 11 Home,359 x 256 x 22.8 mm,2.3kg,3 cell 48 Wh,,2021,Nhựa,720p HD camera,DTS:X® Ultra,,,,,,,,
"Laptop Masstel E116 (Celeron N4020/4GB/128GB/11.6"" HD/Windows 10)- Chính Hãng","2,690,000 ₫",Intel Celeron,Celeron-N4020,2,2,1.10 GHz,Turbo Boost 2.8 GHz,4 MB,Intel UHD Graphics 600,GPU tích hợp,4GB,DDR4,2133 MHz,None,Không hỗ trợ nâng cấp,128GB SSD,Hỗ trợ khe cắm SSD M.2 SATA mở rộng (nâng cấp tối đa 256 GB),1,11.6 inch,1366x768,TN,"TN, 220nits",None,60Hz,Chiclet Keyboard,Không,Multi-touch touchpad,"Mini HDMI
Jack tai nghe 3.5 mm
2 x USB 3.0","Wi-Fi
Bluetooth 4.0",Windows 10 Pro,227 mm - 188.6 mm - 18.6 mm,0.92kg,30.4 Wh,,2022,Vỏ nhựa,2 MP,Built-in stereo speakers 8R/1W*2,,,DDR4,,,,,
"Laptop HP Pavilion 15-eg2035TX 6K781PA (i5-1235U/8GB/512GB/15.6"" FHD/MX550 2GB/Windows 11) - Chính hãng","14,990,000 ₫",Intel Core i5,i5 - 1235U,10,12,1.30 GHz,Turbo Boost 4.4 GHz,12 MB,Card tích hợp - Intel UHD Graphics,MX550,8GB,DDR4,3200 MHz,Không,32GB,512GB SSD,Có thể nâng cấp bộ nhớ mặc định lên dung lượng cao hơn,1,15.6 inch,1920x1080,IPS,"BrightView, Tấm nền IPS",None,60Hz,Bàn phím tiêu chuẩn,Không có đèn nền,Multi-touch touchpad,"HDMI
Jack tai nghe 3.5 mm
2 x USB 3.2
USB Type-C","Bluetooth v5.2
Wi-Fi 6",Windows 11 Home,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm,1.74kg,"3 cell, 41.04 Wh",,2022,Vỏ nhựa - chiếu nghỉ tay bằng kim loại,HD webcam,Realtek High Definition Audio,,2 GB,DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB),,,14 - 15 inch,,
"Laptop Lenovo IdeaPad 5 15ABA7-82SG007KVN (R5-5625U/8GB/512GB/AMD Radeon Graphics/15.6"" FHD/Windows 11) - Chính hãng","10,990,000 ₫",AMD Ryzen 5,R5 - 5625U,6,12,2.3Ghz,4.3GHz,3MB L2 / 16MB L3,AMD Radeon Graphics,GPU tích hợp,8GB,DDR4,3200Mhz,None,Không hỗ trợ nâng cấp,512GB SSD,"Nâng cấp SSD theo 1 trong 2 tuỳ chọn:
M.2 2242 SSD tối đa 512GB
M.2 2280 SSD tối đa 1TB",1,15.6 inch,1920x1080,IPS,300nits Anti-glare,None,60Hz,Bàn phím tiêu chuẩn,Có đèn nền,Multi-touch touchpad,"1x USB 3.2 Gen 1
1x USB 3.2 Gen 1 (Always On)
2x USB-C® 3.2 Gen 1 (support data transfer, Power Delivery 3.0 and DisplayPort™ 1.2)
1x HDMI® 1.4b
1x Card reader
1x Headphone / microphone combo jack (3.5mm)","Wi-Fi 6
Bluetooth v5.1","Windows® 11 Home Single Language, English",356.67 x 233.13 x 16.9 mm,1.85kg,57Wh,,2022,Nhôm,HD 720p with Privacy Shutter,,Microsoft 365 bản dùng thử,,DDR4,,,,,
"Laptop HP 15-fd1045TU-9Z2X1PA (Core 5-120U/16GB/512GB/15.6""FHD/Win11 Home 64/Silver) - Chính hãng","15,990,000 ₫",Intel Core Ultra 5,120U,10 nhân,12 luồng,,5.0 Ghz,12MB,,,16GB,DDR4,,2 khe,,,,1,15.6 inch,1920 x 1080,,,,,,,,"1 cổng USB Type-C
1 cổng USB Type-A
1 HDMI","Bluetooth 5.0
Wi-Fi 6",Win 11 Home,35.98 x 23.6 x 1.86 cm,1.59kg,"3-cell, 41 Wh Li-ion",,,,,2 loa,,,,FHD,,,,
"Máy tính xách tay Asus M3401QA-KM025T (R7-5800H/8GB DDR4 on board/512GB M.2 NVMe PCIe 3.0 SSD/Radeon/14"" OLED 2.8K/Win10 64Bit/Transparent Silver)","15,990,000 ₫",AMD Ryzen 7,R7 - 5800H,8,16,3.2 GHz,"4,4 GHz",16MB,AMD Radeon™ Graphics,GPU tích hợp,8GB,DDR4,3200 MHz,None,Không hỗ trợ nâng cấp,512GB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 1 TB)",1,14 inch,2880x1800,OLED,"OLED 16:10 aspect ratio, 100% DCI-P3 color gamut, PANTONE Validated, Screen-to-body ratio: 84 ％",None,90Hz,Backlit Chiclet Keyboard,Có đèn nền,Multi-touch touchpad,"1x USB 3.2 Gen 1 Type-A
1x USB 3.2 Gen 1 Type-C
2x USB 2.0 Type-A
1 x HDMI 1.4
1 x Micro SD card reader
1 x 3.5mm Combo Audio Jack","Wi-Fi 6
Bluetooth v5.0",Windows 10 Home,31.74 x 22.85 x 1.92 ~ 1.93 cm,1.45 kg,"3-cell Li-ion, 63WHrs, 3S1P",,2021,Vỏ nhựa - nắp lưng bằng kim loại,720p HD camera,Asus SonicMaster stereo,,,,,,,,
"Laptop Dell Inspiron 15 3520 (71027003) - (i5-1235U/8GB/512GB/15.6"" FHD/Windows 11 + Office) - Chính hãng","12,990,000 ₫",Intel Core i5,i5 - 1235U,10,12,1.30 GHz,Turbo Boost 4.4 GHz,12MB,Intel Iris Xe Graphics,GPU tích hợp,8GB,DDR4,2666 MHz,Không,16GB,512GB SSD,SSD nâng cấp lên dung lượng cao hơn,1,15.6 inch,1920x1080,WVA,"Chống chói Anti Glare
250 nits",Không,120Hz,Bàn phím tiêu chuẩn,Không,Multi-touch touchpad,"1 × USB-C 3.2 Gen 1 hỗ trợ Display Port
2 × USB 3.2 Gen 1
1 × USB 2.0
1 × Cổng nguồn
1 × Jack tai nghe
1 × HDMI 1.4
1 × Khe thẻ SD","Wi-Fi 6
Bluetooth v5.2",Windows 11 Home,358.5 x 235.56 x 21.07 mm,1.99kg,"3 Cell, 41 Wh",65 W,2022,Vỏ nhựa,720p HD,Loa kép 2 × 2W,Microsoft Office Home & Student 2021 Vĩnh Viễn,,DDR4,,,,,
iMac M1 2021 24 inch (8GB/512GB) - Chính hãng Apple Việt Nam,"31,500,000 ₫",Apple M1,Apple - M1,8,8,3.2 GHz,Đang cập nhật,Đang cập nhật,8-core GPU tích hợp,GPU tích hợp,8GB,DDR4,Đang cập nhật,Không,16GB,512GB SSD,Không hỗ trợ nâng cấp,1,24 inch,4480x2520,Retina 4.5K,True Tone,Không,60Hz,Đang cập nhật,Đang cập nhật,Đang cập nhật,"2 cổng Thunderbolt / USB 4, 2 cổng USB 3 (trên model cao cấp)",Wi-Fi 6 Bluetooth 5.0,macOS,547 x 461 x 147 (mm),4.48kg,Đang cập nhật,Adapter 143W,Tháng 4 năm 2021,"Nhôm tái chế, kính",Camera FaceTime HD 1080p với bộ xử lý tín hiệu hình ảnh tiên tiến của M1,Hệ thống âm thanh 6 loa với loa trầm loại force-cancelling,"Bộ phần mềm iLife (iMovie, GarageBand), iWork (Pages, Numbers, Keynote)",,,,,,,
"Laptop M-SMART MBOOK 1409A (Celeron-N4000/4GB/128GB/14"" HD/Win10/Bạc) - Chính hãng","2,990,000 ₫",Intel Celeron,N4000,2,2,1.1 GHz,2.6Ghz,4MB,Intel UHD Graphics 600,GPU tích hợp,4GB,LPDDR3,,None,Không hỗ trợ nâng cấp,128GB SSD,,1,14 inch,1280 x 720,,"Tỉ lệ 16:9, HD",None,,Bàn phím tiêu chuẩn,,Multi-touch touchpad,"1 × HDMI 1.4
2 × USB 3.0
1 x 3.5mm
1 x thẻ SD",,Win 10,,,5000 mAh,,,,,,,,,,,,,
Laptop Dell Gaming G15 5530 (71045030) (i7-13650HX/16GB/512GB/RTX 3050/15.6 inch FHD 165Hz/Win 11+ Office/Xám) - Chính hãng,"35,490,000 ₫",Intel Core i7,i7 - 13650HX,14,20,2.6 GHz,4.9 GHz,24MB,Intel UHD Graphics,RTX 3050,16GB,DDR5,4800 MHz,Không,2 khe cắm tối đa 32GB,512GB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 1 TB)",1,15.6 inch,1920x1080,WVA,"Độ sáng 300 nit
Tính năng ComfortView Plus
Màn hình chống chói
Đèn nền LED
Khả năng hiển thị màu sắc: 100% sRGB",None,165Hz,Full-size led RBG,Có đèn nền chuyển màu RGB,Multi-touch touchpad,"1x USB-C 3.2 Thế hệ 2 hỗ trợ DisplayPort
3x USB-A 3.2 Thế hệ 1
1x HDMI
1 x Jack cắm âm thanh 3.5mm
1 x Cổng Ethernet (RJ45)","Wi-Fi 6
Bluetooth v5.2",Windows 11 Home,357.26 x 274.52 x 21.28 - 26.15 mm,2.81 kg,"86WHrs, Li-ion 6 pin",,,,720p HD với micro,Realtek ALC3204,,,,FHD,,,,
"Laptop HP ENVY x360 13-bf0090TU (76B13PA) - (i7-1250U/16GB/512GB/13.3"" 2.8K OLED Cảm ứng/Windows 11/Bút) - Chính hãng","24,990,000 ₫",Intel Core i7,i7 - 1250U,10,12,,4.7 GHz với Intel Turbo Boost,12MB,Intel Iris Xe Graphics,GPU tích hợp,16GB,LPDDR4,4266 MHz,None,Không hỗ trợ nâng cấp,512GB SSD,Nâng cấp bộ nhớ mặc định lên dung lượng cao hơn.,,13.3 inch,2880x1800,OLED,"Mặt kính Corning Gorilla Glass NBT
Ánh sáng xanh thấp
SDR 400 nits
HDR 500 nits
100% DCI-P3",Cảm ứng đa điểm,60Hz,Bàn phím tiêu chuẩn,Có đèn nền,Multi-touch touchpad,"2 Thunderbolt 4 với USB-C 40Gbps (USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge)
1 USB-A 10Gbps (HP Sleep and Charge)
1 USB-A 10Gbps
1 cổng tai nghe","Wi-Fi 6E
Bluetooth v5.3",Windows 11 Home,29.83 x 21.49 x 1.61 cm,1.34kg,"4-cell, 66 Wh",,,Nhôm,HP True Vision 5MP IR camera,"Audio by Bang & Olufsen
Loa kép
HP Audio Boost",,,LPDDR4x,,,,,
Mac Studio Chip M4 Max (16CPU - 40GPU - 48GB - 512GB) - Chính Hãng Apple Việt Nam,"70,490,000 ₫",Apple M4 Max,Apple - M4 - Max,16,40,,,,,,48GB,Không,,,64GB hoặc 128GB,512GB SSD,,,,,,,,,,,,"Two USB‑C ports (up to 10Gb/s)
SDXC memory card slot(UHS-II)
Bốn cổng Thunderbolt 5 (USB‑C)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3
Ethernet 10Gb (Nbase-T Ethernet hỗ trợ Ethernet 1Gb, 2,5Gb, 5Gb và 10Gb bằng đầu nối RJ-45)",macOS,9.5 x 19.7 x 19.7 cm,2.74 kg,,,03/2025,,,"Loa tích hợp
Jack cắm tai nghe 3,5 mm có hỗ trợ nâng cao cho tai nghe trở kháng cao
Cổng HDMI hỗ trợ đầu ra âm thanh đa kênh",,,,,,,,
"Laptop RedmiBook 15 (JYU4505AP) - (i3-1115G4/8GB/256GB/15.6"" FHD/Windows 11) - Chính hãng","7,990,000 ₫",Intel Core i3,i3 - 1115G4,2,4,3Ghz,4.1Ghz,6MB,Intel UHD Graphics,GPU tích hợp,8GB,DDR4,3200Mhz,None,Hãng không công bố,256GB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 1 TB)",1,15.6 inch,1920x1080,IPS,PPI: 141 Brightness Control: DC Dimming Brightness: 220 nits (typ) Contrast ratio: 500:1 Color gamut: NTSC 45% (typ) Viewing angle: 90°(H),None,60Hz,Bàn phím tiêu chuẩn,Không có,Multi-touch touchpad,"1 x Cổng HDMI 1.4
2 x USB 3,2 Gen1, 1 x USB 2,0
Khóa Kensington: Có
Ethernet (Lan): RJ45
Cổng ra âm thanh kỹ thuật số quang học: Có
1 x Đầu cắm tai nghe 3,5 mm
Khe SD: SD 3.0","Bluetooth v5.0
Wi-Fi 5",Windows 11 Home SL,"363,8 x 243,5 x 19,9mm",1.8kg,46Wh,,,Vỏ kim loại,720P,Hai loa stereo 2W + 2W; Âm thanh DTS,,,DDR4,,,,,
"Laptop Asus TUF Gaming FA506NFR-HN006W (R7 7435HS/16GB/512GB/RTX205015.6"" FHD/Win11/Đen) - Chính hãng","16,990,000 ₫",AMD Ryzen 7,R7 - 7435HS,8,16,3.1 GHz,4.5 GHz,16 MB,Card đồ hoạ Intel Iris Xe,"NVIDIA® GeForce RTX™ 2050 Laptop GPU, Up to 1670MHz at 60W (70W with Dynamic Boost), 4GB GDDR6",16GB,DDR5,5600MHz,1 khe,32GB,512GB SSD,"Nâng cấp tối đa 1TB (SSD M2 PCIe)
x2 M.2 PCIe",1,15.6 inch,1920x1080,IPS,"Độ sáng: 250 nits
Độ phủ màu: 45% NTSC
Tỷ lệ màn hình: 16:09
Độ tương phản: 1000:1",Không,144Hz,Backlit Chiclet Keyboard,RGB 1 Zone,Multi-touch touchpad,"1 RJ45 Gigabit Ethernet
1 USB 3.2 Gen 2 Type-C
3 USB 3.2 Gen 1 Type-A
1x 3.5mm Combo Audio Jack
1x HDMI 2.1","Wifi 6
Bluetooth: v5.3",Windows 11 Home,359 x 256 x 22.8 ~ 24.5 mm,2.3 kg,48 Wh,150 W,2024,Nhựa,720P HD camera,"DTS Software
AI noise-canceling technology
Hi-Res certification
Built-in 3-microphone array
2-speaker system",,,,,,,,
Laptop Dell XPS 14 9440 (71034921) (Ultra 7 155H/64GB/1TB/RTX 4050/14.5 inch 3.2K Touch/Win 11+Office/Đen) - Chính hãng,"74,490,000 ₫",Intel Core Ultra 7,U7 - 155H,16,22,1.4 GHz,4.8 GHz,24 MB,,RTX 4050,64GB,DDR5,7467,Không,,1TB SSD,,1,14.5 inch,3200 x 2000,OLED,,Cảm ứng đa điểm,Đang cập nhật,Bàn phím tiêu chuẩn,,Multi-touch touchpad,3x USB Type-C Thunderbolt 4 với Power Delivery và DisplayPort,"Wi-Fi 6E
Bluetooth 5.3",Windows 11 Home 64 Single Language,18.3 x 320 x 216 mm,1.74Kg,6 cell 69.5Wh,AC Adapter,,,FHD,"Waves MaxxAudio® Pro, 2W Stereo speaker",,,,3.2K,,,,
Laptop Gaming Acer Nitro 5 Tiger AN515-58-52SP (i5-12500H/8GB/512GB/RTX™ 3050 4GB/15.6 inch FHD /Win 11/Đen) (NH.QFHSV.001) - Chính hãng,"18,690,000 ₫",Intel Core i5,i5 - 12500H,12,16,2.50 GHz,Turbo Boost 4.5 GHz,18 MB,RTX 3050 4GB,RTX 3050,8GB,DDR4,3200 MHz,Không,32GB,512GB SSD,"Hỗ trợ thêm 1 khe cắm HDD SATA (nâng cấp tối đa 1TB)
Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)",,15.6 inch,1920x1080,IPS,"TFT
LED Backlit
Công nghệ IPS
Acer ComfyView",None,144Hz,Bàn phím tiêu chuẩn,Đèn bàn phím chuyển màu RGB,Multi-touch touchpad,"Jack tai nghe 3.5 mm
Thunderbolt 4 USB-C
3 x USB 3.2
HDMI
LAN (RJ45)","Wi-Fi 6
Bluetooth v5.1",Windows 11 Home SL,Dài 360.4 mm - Rộng 271.09 mm - Dày 25.9 mm,2.5kg,57.5 Wh,,2022,Vỏ nhựa,HD webcam,"Acer TrueHarmony
DTS X:Ultra Audio",,,DDR4 2 khe (1 khe 8 GB + 1 khe rời),,,,,
"Laptop ASUS Vivobook S 14 FLIP TP3402VA-LZ632W (I5-13420H/16GB/512GB SSD/UMA/14"" WUXGA/Win 11 Home/Bạc) - Chính hãng","18,490,000 ₫",Intel Core i5,i5 - 13420H,8,12,2.1 GHz,4.6 GHz,12MB Cache,Intel UHD Graphics,GPU tích hợp,16GB,DDR4,3200 MHz,Không,"(1x SO-DIMM socket, up to 24GB SDRAM)",512GB SSD,1 khe M.2 PCIe 3.0x4,1,14 inch,1920 x 1200,IPS-level,"Glossy, 45% NTSC, 300 nits, TÜV Rheinland-certified","Có, hỗ trợ bút cảm ứng",60Hz,Chiclet có đèn nền,Có,Precision touchpad,"1 x USB 2.0 Type-A
1 x USB 3.2 Gen 2 Type-A
1 x USB 3.2 Gen 2 Type-C (PD + Display)
1 x HDMI 2.1 TMDS
1 x jack tai nghe/mic
1 x cổng sạc DC-in","Wi-Fi 6E, Bluetooth 5.3",Windows 11 Home,31.32 x 22.76 x 1.89 cm,1.50 kg,"50Wh, 3-cell Li-ion","90W, cổng 4.5mm",,,"1080p FHD camera, With privacy shutter","Harman/Kardon, Smart Amp, mic kép","Microsoft Office Trial, MyASUS, McAfee 30 ngày, Adobe Cloud 1 tháng",,,WUXGA,,,,
