Tên sản phẩm,Giá bán,Thương hiệu,Bảo hành,Mô tả bảo hành,CPU,NPU,Chip đồ họa,Màn hình,Webcam,Ram,Lưu trữ,Cổng kết nối,Kết nối không dây,Bàn phím,Hệ điều hành,Kích thước,Pin,Khối lượng,Bảo mật,Đèn LED trên máy,Trong hộp có gì,Series model,Tên,Part-number,Màu sắc,Nhu cầu,Âm thanh,Chất liệu,Dung lượng RAM,Dung lượng SSD,"Kích thước, khối lượng",Công suất pin,Cổng HDMI,Tính năng đặc biệt
Laptop HP 15-fd0083TU - 8D736PA,19.990.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i7-1355U ( 1.7 GHz - 5.0 GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",,Onboard graphics Intel® UHD Graphics,"15.6"" ( 1920 x 1080 ) Full HD IPS , 60Hz , 250 nits , 45% NTSC",HD webcam,2 x 8GB DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C
2 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth","Bàn phím thường , có phím số , không đèn",Windows 11 Home,35.98 x 23.6 x 1.86 cm,"3 cell 41 Wh , Pin liền",1.6 kg,,không đèn,"Adapter, dây nguồn, HDSD,…",HP 15,15-fd0083TU - 8D736PA,8D736PA,Bạc,Văn phòng,,,,,,,,
Laptop HP 14-ep0110TU,19.990.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i7-1355U ( 1.7 GHz - 5.0 GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"14"" ( 1920 x 1080 ) Full HD IPS , 60Hz , 250 nits , 62.5% sRGB , Màn hình chống lóa",HD webcam,2 x 8GB DDR4 3200MHz,512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C
2 x USB 3.2
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , không phím số , không đèn",Windows 11 Home SL,32.37 x 21.5 x 1.79 cm,"3 cell 41 Wh , Pin liền",1.4 kg,,không đèn,Adapter,HP 14,14-ep0110TU (8C5K9PA),8C5K9PA,Bạc,Văn phòng,,,,,,,,
Laptop HP Pavilion 15-eg3112TU,23.490.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i7-1355U ( 1.7 GHz - 5.0 GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"15.6"" ( 1920 x 1080 ) Full HD IPS , 60Hz , 250 nits , 45% NTSC , Màn hình chống lóa",HD webcam,2 x 8GB DDR4 3200MHz,512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , có phím số , không đèn",Windows 11 Home SL,36.02 x 23.4 x 1.8 cm,"3 cell 41 Wh , Pin liền",1.6 kg,,không đèn,Adapter,HP Pavilion,Pavilion 15-eg3112TU (8U6L9PA),8U6L9PA,Bạc,Văn phòng,HP Audio Boost,,,,,,,
Laptop HP Victus 16-s0077AX,28.990.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"AMD Ryzen™ 7 7840HS ( 3.8 GHz - 5.1 GHz / 16MB / 8 nhân, 16 luồng ), AMD AI",AMD Ryzen™AI up to 10 TOPs,GeForce RTX™ 3050 6GB GDDR6 AMD Radeon 780M,"16.1"" ( 1920 x 1080 ) Full HD IPS , 144Hz , 250 nits , 45% NTSC , Màn hình chống lóa",FHD webcam,2 x 8GB DDR5 5600MHz,512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , có phím số , LED",Windows 11 Home SL,36.9 x 25.94 x 2.39 cm,"4 cell 70 Wh , Pin liền",2.3 kg,,không đèn,Adapter,HP Victus,Victus 16-s0077AX (8C5N6PA),8C5N6PA,Đen,Gaming,HP Audio Boost,,,,,,,
Laptop HP Pavilion 15-eg3095TU - 8C5L6PA,17.690.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-1335U ( 1.3 GHz - 4.6 GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"15.6"" ( 1920 x 1080 ) Full HD IPS , 60Hz , 250 nits , 45% NTSC , Màn hình chống lóa",HD webcam,2 x 8GB DDR4 3200MHz,512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , có phím số , không đèn",Windows 11 Home,36.02 x 23.4 x 1.8 cm,"3 cell 41 Wh , Pin liền",1.7 kg,,không đèn,"Adapter, dây nguồn,…",HP Pavilion,Pavilion 15-eg3095TU - 8C5L6PA,8C5L6PA,Bạc,Văn phòng,HP Audio Boost,,,,,,,
Laptop HP Victus 16-r0127TX - 8C5N2PA,34.790.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i7-13700H ( 2.4 GHz - 5.0 GHz / 24MB / 14 nhân, 20 luồng ), Non-EVO",,GeForce RTX™ 4060 8GB GDDR6 Intel® Iris® Xe Graphics,"16.1"" ( 1920 x 1080 ) Full HD IPS , 144Hz , 250 nits , 45% NTSC",HD webcam,2 x 8GB DDR5 5200MHz ( 2 Khe cắm / Hỗ trợ tối đa 64GB ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , có phím số , RGB",Windows 11 Home,36.9 x 25.94 x 2.29,"4 cell 70 Wh , Pin liền",2.3 kg,,không đèn,"Adapter, dây nguồn,…",HP Victus,Victus 16-r0127TX - 8C5N2PA,8C5N2PA,Đen,Gaming,HP Audio Boost,,,,,,,
Laptop HP Victus 16-s0078AX - 8C5N7PA,19.690.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"AMD Ryzen™ 5 7640HS ( 4.3 GHz - 5.0 GHz / 16MB / 6 nhân, 12 luồng ), AMD AI",AMD Ryzen™AI up to 10 TOPs,GeForce RTX™ 3050 6GB GDDR6 AMD Radeon 760M,"16.1"" ( 1920 x 1080 ) Full HD IPS , 144Hz , 250 nits , 45% NTSC",HD webcam,2 x 8GB DDR5 5600MHz ( 2 Khe cắm / Hỗ trợ tối đa 64GB ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , có phím số , RGB",Windows 11 Home,36.9 x 25.94 x 2.29 cm,"4 cell 70 Wh , Pin liền",2.3 kg,,không đèn,"Adapter, dây nguồn,…",HP Victus,Victus 16-s0078AX - 8C5N7PA,8C5N7PA,Đen,Gaming,HP Audio Boost,,,,,,,
Laptop HP ProBook 440 G10 - 873B8PA,23.290.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i7-1355U ( 1.7 GHz - 5.0 GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"14"" ( 1920 x 1080 ) Full HD IPS , 60Hz , không cảm ứng",FHD webcam,1 x 16GB DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth","Bàn phím thường , không phím số , LED",Windows 11 Home,32.19 x 21.39 x 1.99 cm,"3 cell 51 Wh , Pin liền",1.4 kg,Vân tay,không đèn,"Adapter, dây nguồn,…",HP Probook,ProBook 440 G10 - 873B8PA,873B8PA,Bạc,Văn phòng,,,,,,,,
Laptop HP ProBook 440 G10,14.290.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i3-1315U ( 1.2 GHz - 4.5 GHz / 10MB / 6 nhân, 8 luồng ), Non-EVO",,Onboard graphics Intel® UHD Graphics,"14"" ( 1920 x 1080 ) Full HD IPS , 60Hz",FHD webcam,1 x 8GB DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),256GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth","Bàn phím thường , không phím số , LED",Windows 11 Home,32.19 x 21.39 x 1.99 cm,"3 cell 51 Wh , Pin liền",1.4 kg,Vân tay,không đèn,"Adapter, dây nguồn,…",HP Probook,ProBook 440 G10(873A2PA),873A2PA,Bạc,Văn phòng,,,,,,,,
Laptop HP Pavilion 15-eg3093TU,17.990.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-1335U ( 1.3 GHz - 4.6 GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"15.6"" ( 1920 x 1080 ) Full HD IPS , 60Hz , không cảm ứng , 250 nits , 45% NTSC , Màn hình chống lóa",HD webcam,2 x 8GB DDR4 3200MHz,512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , có phím số , không đèn",Windows 11 Home SL,36.02 x 23.4 x 1.8 cm,"3 cell 41 Wh , Pin liền",1.7 kg,,không đèn,,HP Pavilion,Pavilion 15-eg3093TU (8C5L4PA),8C5L4PA,Vàng đồng,Văn phòng,HP Audio Boost,,,,,,,
Laptop Dell Inspiron T7430 - N7430I58W1,18.490.000₫,Dell,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-1335U ( 1.3 GHz - 4.6 GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"14"" ( 1920 x 1080 ) Full HD WVA , 60Hz , cảm ứng , 250 nits , 45% NTSC , ComfortView Plus",FHD webcam,8GB Onboard LPDDR5 4800MHz ( 1 Khe cắm / Hỗ trợ tối đa 8GB ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB 3.2
1 x Thunderbolt 4
1 x SD card slot
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , không phím số , LED",Windows 11 Home SL + Office Home & Student 2021,31.4 x 22.656 x 1.747 cm,"4 cell 54 Wh , Pin liền",1.6 kg,Vân tay,không đèn,Adapter,Dell Inspiron,Inspiron T7430 - N7430I58W1,N7430I58W1,Bạc,Văn phòng,Dolby Atmos,,,,,,,
Laptop Acer Nitro 5 Tiger AN515-58-5935,20.990.000₫,Acer,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-12450H ( 2.0 GHz - 4.4 GHz / 12MB / 8 nhân, 12 luồng ), Non-EVO",,GeForce RTX™ 4050 6GB GDDR6 Intel® UHD Graphics ( 2370 MHz,"15.6"" ( 1920 x 1080 ) Full HD 16:9 , IPS , 144Hz , không cảm ứng , 250 nits , 45% NTSC , Acer ComfyView",HD webcam,1 x 8GB DDR5 4800MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),512GB SSD M.2 NVMe ( 2 x M.2 NVMe ),"3 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.1","Bàn phím thường , có phím số , RGB",Windows 11 Home,360.4 x 271.09 x 25.9 mm,"4 cell 60 Wh , Pin liền",2.5 kg,,không đèn,"Adapter, dây nguồn",Acer Nitro,Nitro 5 Tiger AN515-58-5935 (NH.QLZSV.001),NH.QLZSV.001,Đen,Gaming,Acer Purified Voice; Acer TrueHarmony,Nhựa cứng Polycarbonate,,,,,,
Laptop Acer Gaming Aspire 7 A715-76G-5806,18.690.000₫,Acer,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-12450H ( 2.0 GHz - 4.4 GHz / 12MB / 8 nhân, 12 luồng ), Non-EVO",,GeForce RTX™ 3050 4GB GDDR6 Intel® UHD Graphics ( 1740 MHz,"15.6"" ( 1920 x 1080 ) Full HD 16:9 , IPS , 144Hz , không cảm ứng , Acer ComfyView",HD webcam,2 x 8GB DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),512GB SSD M.2 NVMe ( 2 x M.2 NVMe ),"3 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.1","Bàn phím thường , có phím số , LED",Windows 11 Home,362.3 x 237.4 x 19.9 mm,"3 cell 50 Wh , Pin liền",2.1 kg,Vân tay,không đèn,"Adapter, dây nguồn",Acer Aspire,Gaming Aspire 7 A715-76G-5806,NH.QMFSV.002,Đen,Gaming,Acer Purified Voice; Acer TrueHarmony,Nhôm,,,,,,
Laptop Acer Gaming Aspire 7 A715-76G-59MW,15.190.000₫,Acer,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-12450H ( 2.0 GHz - 4.4 GHz / 12MB / 8 nhân, 12 luồng ), Non-EVO",,GeForce RTX™ 2050 4GB GDDR6 Intel® UHD Graphics,"15.6"" ( 1920 x 1080 ) Full HD IPS , 144Hz , không cảm ứng , Acer ComfyView",HD webcam,1 x 8GB DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),512GB SSD M.2 NVMe ( 2 x M.2 NVMe ),"3 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.1","Bàn phím thường , có phím số , LED",Windows 11 Home,362.3 x 237.4 x 19.9 mm,"3 cell 50 Wh , Pin liền",2.1 kg,Vân tay,không đèn,"Adapter, dây nguồn",Acer Aspire,Gaming Aspire 7 A715-76G-59MW (NH.QMYSV.001),NH.QMYSV.001,Đen,Gaming,,Vỏ nhôm,,,,,,
Laptop Lenovo Ideapad Slim 5 Light 14ABR8 - 82XS0007VN,17.590.000₫,Lenovo,36 tháng,Bảo hành Pin 12 tháng,"AMD Ryzen™ 7 7730U ( 2.0 GHz - 4.5 GHz / 16MB / 8 nhân, 16 luồng ), AMD",,Onboard graphics AMD Radeon™ Graphics,"14"" ( 1920 x 1080 ) Full HD IPS , 60Hz , 300 nits , 100% sRGB , Màn hình chống lóa",FHD webcam,8GB Onboard DDR4 3200MHz Hỗ trợ tối đa 8GB ),512GB SSD M.2 NVMe ( 1 x M.2 2280 ),"1 x USB Type C / DisplayPort / Data / Power Delivery
2 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.1","Bàn phím thường , LED",Windows 11 Home SL,324.1 x 215.7 x 17.1 mm,"47 Wh , Pin liền",1.2 kg,Vân tay,không đèn,Adapter,Lenovo IdeaPad,Ideapad Slim 5 Light 14ABR8 - 82XS0007VN,82XS0007VN,Xám,Văn phòng,Dolby Audio,Vỏ nhựa,,,,,,
Laptop Msi Prestige 13 Evo A13M -081VN,24.690.000₫,Msi,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i7-1360P ( 2.2 GHz - 5.0 GHz / 18MB / 12 nhân, 16 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"13.3"" ( 1920 x 1200 ) WUXGA 16:10 , IPS , 60Hz , không cảm ứng , 100% sRGB",HD webcam,16GB Onboard LPDDR5 4800MHz ( 1 Khe cắm / Hỗ trợ tối đa 16GB ),1TB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB 3.2
2 x Thunderbolt 4
1 x micro SD card slot
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , không phím số , LED",Windows 11 Home,29.9 x 21.0 x 1.69 cm,"4 cell 75 Wh , Pin liền",1 kg,Vân tay,không đèn,,MSI Prestige,Prestige 13 Evo A13M -081VN,081VN,Xám,"Gaming, Văn phòng",DTS Audio Processing,,,,,,,
Laptop Msi Katana 15 B13VGK-1211VN,31.990.000₫,Msi,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i7-13620H ( 2.4 GHz - 4.9 GHz / 24MB / 10 nhân, 16 luồng ), Non-EVO",,"GeForce RTX™ 4070 8GB GDDR6 Intel® UHD Graphics 770 ( 1980MHz , 105W","15.6"" ( 1920 x 1080 ) Full HD IPS , 144Hz , không cảm ứng",HD webcam,2 x 8GB DDR5 5200MHz ( 2 Khe cắm / Hỗ trợ tối đa 64GB ),1TB SSD M.2 NVMe ( 2 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
1 x USB 3.2
1 x USB 2.0
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , có phím số , RGB",Windows 11 Home,359 x 259 x 24.9 mm,"3 cell 54 Wh , Pin liền",2.2 kg,,không đèn,"Adapter 200W, dây nguồn, MSI Essential Backpack",MSI Katana,Katana 15 B13VGK-1211VN,1211VN,Đen,"Gaming, Văn phòng","Nahimic, Hi-Res Audio",,,,,,,
Laptop Acer Aspire 3 A315-58-529V,11.990.000₫,Acer,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-1135G7 ( 2.4 GHz - 4.2 GHz / 8MB / 4 nhân, 8 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"15.6"" ( 1920 x 1080 ) Full HD TFT , 60Hz , không cảm ứng , 220 nits , 45% NTSC , Acer ComfyView",HD webcam,8GB (4GB + 4GB Onboard) DDR4 2400MHz ( 1 Khe cắm / Hỗ trợ tối đa 12GB ),"256GB SSD M.2 NVMe ( 1 x 2.5"" SATA /( 1 x M.2 NVMe )","2 x USB 3.2
1 x USB 2.0
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ac , Bluetooth","Bàn phím thường , có phím số",Windows 11 Home,35.85 x 23.56 x 1.90 cm,"2 cell 37 Wh , Pin liền",1.7 kg,,không đèn,,Acer Aspire,Aspire 3 A315-58-529V,NX.ADDSV.00N,Bạc,Văn phòng,,,,,,,,
Laptop Asus Vivobook Go 14 E1404FA-NK177W,11.490.000₫,Asus,24 tháng,Bảo hành Pin 12 tháng,"AMD Ryzen™ 5 7520U ( 2.8 GHz - 4.3 GHz / 4MB / 4 nhân, 8 luồng ), AMD",,Onboard graphics AMD Radeon 610M,"14"" ( 1920 x 1080 ) Full HD 16:9 , 60Hz , không cảm ứng , 45% NTSC",HD webcam,16GB Onboard LPDDR5 5500MHz,512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C
1 x USB 3.2
1 x USB 2.0
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , không phím số",Windows 11 Home,32.45 x 21.39 x 1.79 cm,"3 cell 42 Wh , Pin liền",1.4 kg,Vân tay,không đèn,,ASUS Vivobook,Vivobook Go 14 E1404FA-NK177W,90NB0ZS1-M006L0,Bạc,Văn phòng,SonicMaster,,,,,,,
Laptop Acer Aspire 5 A514-56P-35X7,9.990.000₫,Acer,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i3-1315U ( 1.2 GHz - 4.5 GHz / 10MB / 6 nhân, 8 luồng ), Non-EVO",,Onboard graphics Intel® UHD Graphics,"14"" ( 1920 x 1200 ) WUXGA IPS , 60Hz , không cảm ứng , Acer ComfyView",HD webcam,8GB Onboard LPDDR5 6400MHz ( 1 Khe cắm / Không nâng cấp được ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB 3.2
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.1","Bàn phím thường , không phím số , không đèn",Windows 11 Home,36.23 x 23.74 x 1.99 mm,"3 cell 50 Wh , Pin liền",1.3 kg,,không đèn,"Adapter, dây nguồn",Acer Aspire,Aspire 5 A514-56P-35X7 (NX.KHRSV.001),NX.KHRSV.001,Đen,Văn phòng,Acer Purified Voice,,,,,,,
Laptop Acer Nitro 16 Phoenix AN16-41-R5M4,23.690.000₫,Acer,12 tháng,Bảo hành Pin 12 tháng,"AMD Ryzen™ 5 7535HS ( 3.3 GHz - 4.5 GHz / 16MB / 6 nhân, 12 luồng ), AMD",,GeForce RTX™ 4050 6GB GDDR6 AMD Radeon 660M,"16"" ( 1920 x 1200 ) WUXGA IPS , 165Hz , không cảm ứng , 400 nits , 100% sRGB , Acer ComfyView",HD webcam,1 x 8GB DDR5 4800MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),512GB SSD M.2 NVMe ( 2 x M.2 NVMe ),"2 x USB Type C
2 x USB 3.2
1 x USB 2.0
1 x micro SD card slot
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.1","Bàn phím thường , có phím số , RGB 4 vùng",Windows 11 Home SL,360.1 x 279.9 x 25.9 - 27.9 mm,"4 cell 90 Wh , Pin liền",2.6 kg,,không đèn,"Adapter, dây nguồn",Acer Nitro,Nitro 16 Phoenix AN16-41-R5M4 (NH.QKBSV.003),NH.QKBSV.003,Đen,"Gaming, Văn phòng",,Vỏ nhựa,,,,,,
Laptop Msi Modern 14 C13M - 609VN,10.790.000₫,Msi,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-1335U ( 1.3 GHz - 4.6 GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"14"" ( 1920 x 1080 ) Full HD IPS , 60Hz , không cảm ứng",HD webcam,1 x 8GB DDR4 3200MHz ( Không / Không nâng cấp được ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
1 x USB 3.2
2 x USB 2.0
1 x micro SD card slot
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , không phím số , LED",Windows 11 Home,319.9 x 223 x 19.35 mm,"3 cell 39 Wh , Pin liền",1.4 kg,,không đèn,,MSI Modern,Modern 14 C13M - 609VN,609VN,Bạc,Văn phòng,,,,,,,,
Laptop Dell Vostro 5630,20.690.000₫,Dell,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-1340P ( 1.9 GHz - 4.6 GHz / 18MB / 12 nhân, 16 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"16"" ( 1920 x 1200 ) WUXGA WVA , 60Hz , không cảm ứng , Màn hình chống lóa",FHD webcam,8GB Onboard LPDDR5 4800MHz ( Không / Không nâng cấp được ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB 3.2
1 x Thunderbolt 4
1 x SD card slot
Audio combo
1 x HDMI","WiFi 802.11ac , Bluetooth 4.1","Bàn phím thường , có phím số , LED",Windows 11 Home SL + Office Home & Student 2021,15.67 - 17.95 x 356.78 x 251.90 mm,"4 cell 54 Wh , Pin liền",1.9 kg,Vân tay,không đèn,"Adapter, dây nguồn, HDSD,…",Dell Vostro,Vostro 5630 (V5630-i5P085W11GRU),V5630-i5P085W11GRU,Xám,Văn phòng,Realtek Audio,,,,,,,
Laptop Asus Zenbook 14 OLED UX3402VA-KM068W,28.790.000₫,Asus,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i7-1360P ( 2.2 GHz - 5.0 GHz / 18MB / 12 nhân, 16 luồng ), Intel EVO",,Onboard graphics Intel® Iris® Xe Graphics,"14"" ( 2880 x 1800 ) 2.8K 16:10 , OLED , 90Hz , không cảm ứng , 400 nits , 100% DCI-P3 , Màn hình gương",FHD webcam,16GB Onboard LPDDR5 Hỗ trợ tối đa 16GB ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB 3.2
1 x Thunderbolt 4
1 x micro SD card slot
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.0","Bàn phím thường , không phím số , không đèn",Windows 11 Home,31.36 x 22.06 x 1.69 cm,"4 cell 75 Wh , Pin liền",1.4 kg,Vân tay,không đèn,"Adapter, dây nguồn",ASUS Zenbook,Zenbook 14 OLED UX3402VA-KM068W,,Xanh,Văn phòng,Dolby Atmos,,,,,,,
Laptop Asus Vivobook S3405VA-KM071W,25.290.000₫,Asus,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i9-13900H ( 3.2 GHz - 4.75 GHz / 24MB / 14 nhân, 20 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"14"" ( 2880 x 1800 ) 2.8K 16:10 , OLED , 90Hz , không cảm ứng , 600 nits , 100% DCI-P3 , Màn hình chống lóa",HD webcam,16GB (8GB + 8GB Onboard) DDR4 3200MHz ( 1 Khe cắm / Hỗ trợ tối đa 24GB ),512GB SSD M.2 NVMe,"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.0","Bàn phím thường , không phím số , LED",Windows 11 Home,31.71 x 22.25 x 1.89 cm,"3 cell 63 Wh , Pin liền",1.4 kg,Vân tay,không đèn,"Adapter, dây nguồn",ASUS Vivobook,Vivobook S3405VA-KM071W,,Đen,Văn phòng,SonicMaster,,,,,,,
Laptop Asus Vivobook X1504VA-NJ070W,14.990.000₫,Asus,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-1335U ( 1.3 GHz - 4.6 GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"15.6"" ( 1920 x 1080 ) Full HD 16:9 , 60Hz , không cảm ứng , 45% NTSC",HD webcam,16GB (8GB + 8GB Onboard) DDR4 3200MHz ( 1 Khe cắm / Hỗ trợ tối đa 24GB ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x USB 2.0
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.0","Bàn phím thường , có phím số , không đèn",Windows 11 Home,35.97 x 23.25 x 1.79 cm,"3 cell 42 Wh , Pin liền",1.7 kg,Vân tay,không đèn,"Adapter, dây nguồn",ASUS Vivobook,Vivobook X1504VA-NJ070W,,Xanh,Văn phòng,SonicMaster,,,,,,,
