Product Name,Price,Sản phẩm,Tên Hãng,Model,Bộ vi xử lý,Card đồ họa,Bộ nhớ ram,Ổ cứng,Số cổng lưu trữ tối đa,Kiểu khe M.2 hỗ trợ,Màn hình,Kết nối,Cổng giao tiếp,Webcam,Bảo mật,Hệ điều hành,Pin,Kích thước,Trọng lượng,Màu sắc/ Chất liệu,Bộ VXL,Bộ nhớ,Ổ đĩa quang,Màu sắc/ Chất liệu,Thương hiệu,Sản phẩm,CPU,RAM,VGA,Camera,Wi-Fi,Bluetooth,LOA,Màu sắc,Cổng kết nối,Wifi,Chất liệu,Kích thước,Trọng lượng,Ram,Trọng Lượng,Bộ nhớ RAM,Nhận dạng vân tay,Ổ cứng/ Ổ đĩa quang,Âm thanh,Audio,Màu sắc,Đèn LED trên máy,Hãng sản xuất,Bộ vi xử lý,Bộ nhớ Ram,Ổ đĩa cứng,Đồ họa,WiFi,bluetooth,Pin (Battery),Khối lượng,Kết nối mạng LAN,SSD,Kết nối không dây,Khe đọc thẻ nhớ,Bảo mật vân tay,Card đồ hoạ,Đọc thẻ,Ổ đĩa quang (DVD),Giao tiếp mạng,Giao tiếp mạng - Communications,Cổng giao tiếp - Port,pin,NPU,Bộ xử lý,Cổng I/O,Nguồn,OS,Lưu trữ,Wireless,LAN,Đọc thẻ - Card reader,Cổng xuất hình,Hỗ trợ nâng cấp,Khả năng nâng cấp trong tương lai,Vga,Mô tả khác,Bộ VXL,Card màn hình,Kích thước màn hình,bàn phím,Thiết kế/ Chất liệu vỏ,card đồ họa,Khả năng nâng cấp ram,PIN,Mạng,Loại card đồ họa,Vân tay,Ổ đĩa cứng - SSD,Kết nối USB,Năm sản xuất,Chất liệu sản phẩm,Ổ cứng,Đọc thẻ nhớ,WIFI,Dung lượng RAM,Công nghệ âm thanh,Bộ xử lý - CPU,Bộ nhớ trong - Ram,Đèn bàn phím,wifi,Màn hình - Monitor,Card đồ hoạ - Video,Công nghệ CPU,Finger Print,Bộ nhớ trong,Chip đồ họa,Màn hình hiển thị,Ổ đĩa cứng - HDD,Tính năng đặc biệt,Loại đèn bàn phím,Dung lượng,Ổ đĩa quang (ODD),Kiểu Pin,Hệ điều hành (bản quyền) đi kèm,Kích thước (Dài x Rộng x Cao),Màn hìn,Pin(Battery),Phụ kiện kèm theo,Màu,webcam,Bàn phím,Chuẩn WIFI,Loa,Phụ kiện,Cạc đồ họa,Loại khe M.2,Keyboard + Mouse,Khe cắm mở rộng,Hệ điều hành tương thích,Công suất bộ sạc,Thông số (Lan/Wireless),"Wi-Fi, bluetooth",Màu sắc (Colour),Bàn phím,Hãng sãn xuất,Chuẩn Lan,Bàn Phím,Bộ nguồn,Phần mềm có sẵn,Thời lượng pin,Card mở rộng,Card VGA,"Wi-Fi,",Giao tiếp,Thẻ đọc,Kiểu bàn phím,Lan,Kết nối có dây (LAN),Chuẩn LAN,Card reader,Kết nối không dây,Ổ quang,Bảo mật Vân tay,,Keyboard,Khe mở rộng,Nhận dạng Vân tay,Chuẩn Wifi,Kiểu khe M.2 hỗ tr,bảo mật,Máy tính xách tay,Tính năng khác,Phụ kiện kèm,"Wifi, bluetooth",Bluetooth®,Kiểu khe M.2 hỗ trợ`,Chuẩn Wi-Fi,Other Supports
Laptop Dell Inspiron 3530 N3530-i3U085W11BLU Đen,12.250.000đ,Máy tính xách tay,Dell,Inspiron  3530 N3530-i3U085W11BLU,,Intel UHD Graphics,,512GB SSD M.2 PCIe,,,"15.6-inch FHD (1920 x 1080), 120Hz,WVA Anti-glare  LED Backlit 250 Nits Narrow Border","Wi-Fi 6 802.11ax , Bluetooth 5.2","1 x USB 3.2 Gen1 Type-A
1 x USB 3.2 Type-C 
1 x USB 2.0
1 x HDMI 1.4 port
1 x SD card slot
1 x Jack Audio™ 3.5mm","720p at 30 fps HD camera, single-integrated microphone",,Windows 11 Home SL,3 Cell 41Whr,358.5 x 235.56 x 16.96~18.99 mm,1.84 kg,,"Intel Core i3-1305U (10MB Cache, Turbo Boost 4.5GHz)",,no,Đen,,,,,,,,,,,,,,,,,,"8GB (1x8GB) DDR4 2666MHz, 2 slot tối đa 16GB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Asus TUF Gaming F15 FX507ZU4-LP520W Gray,26.750.000đ,,,TUF Gaming F15 FX507ZU4-LP520W,,NVIDIA GeForce RTX 4050 6GB GDDR6,,512GB M.2 NVMe PCIe 4.0,2 x M.2 NVMe,M.2 NVMe,"15.6""FHD (1920 x 1080) IPS, 144Hz, Wide View, 250nits, Narrow Bezel, Non-Glare with 45% NTSC, 63% sRGB",,"1x ThunderBolt 4 support DisplayPort:
1x USB 3.2 Gen 2 Type-C support DisplayPort™ / G-SYNC
2x USB 3.2 Gen 1 Type-A
1x RJ-45 LAN
1x HDMI  2.0B
1x Jack Audio™ 3.5mm",HD 720p,,Windows 11 Home,4 Cell 90WHrs,,,,"Intel® Core™ i7-12700H (24M Cache, up to 4.7 GHz)",,,,,,,,,,,,,,,,,35.4 x 25.1 x 2.24 ~ 2.49 cm,,,,1 x 8GB DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),,,,,,,Asus,,,,,,,,2.2 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Full box,,,,,,,,,,,,,,"802.11ax (2X2), Bluetooth 5.2",Xám,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Asus TUF Gaming F15 FX507VV4-LP382W Gray,35.490.000đ,,,TUF Gaming F15 FX507VV4-LP382W,,NVIDIA® GeForce RTX™ 4060 8GB GDDR6,,512GB PCIe® 4.0 NVMe™ M.2 SSD (2230) (Còn trống 1 khe SSD M.2 PCIE),1 x M.2 NVMe,M.2 NVMe,"15.6""FHD (1920 x 1080) IPS, 144Hz, Wide View, 250nits, Narrow Bezel, Non-Glare with 45% NTSC, 63% sRGB",,"1x ThunderBolt 4 support DisplayPort:
1x USB 3.2 Gen 2 Type-C support DisplayPort™ / G-SYNC
2x USB 3.2 Gen 1 Type-A
1x RJ-45 LAN
1x HDMI  2.0B
1x Jack Audio™ 3.5mm",HD 720p,,Windows 11 Home,4 Cell 90WHrs,,,,Intel Core i9-13900H 2.6GHz up to 5.4GHz 24MB,,,,,,,,,,,,,,,,,35.4 x 25.1 x 2.24 ~ 2.49 cm,,,,"16GB (8x2) DDR4 3200MHz (2x SO-DIMM socket, up to 32GB SDRAM)",,,,,,,Asus,,,,,,,,2.2 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Full box,,,,,,,,,,,,,,"802.11ax (2X2), Bluetooth 5.2",Xám,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Asus TUF Gaming A15 FA507NV-LP046W Gray,27.390.000đ,,,TUF Gaming A15 FA507NV-LP046W,AMD Ryzen 7 7735HS 3.2GHz up to 4.75GHz 16MB,NVIDIA® GeForce RTX™ 4060 8GB GDDR6,"8GB DDR5 4800MHz (2x SO-DIMM socket, up to 32GB SDRAM)",512GB PCIe® 4.0 NVMe™ M.2 SSD (2230) (Còn trống 1 khe SSD M.2 PCIE),2 x M.2 NVMe,M.2 NVMe,,,"1x Jack Audio™ 3.5mm
1x HDMI 
1x USB Type C /  DisplayPort
3x USB 3.2 
1x RJ-45 LAN",,,Windows 11 Home,,,,,,,,,,,,,,,,,,,,Wi-Fi 6 (802.11ax) (Dual band) (2X2),,35.4 x 25.1 x 2.24 ~ 2.49 cm,,,,,,,2 Loa,,,,Asus,,,,,,Bluetooth v5.2,,2.2 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.6"" FHD  (1920 x 1080) IPS, 144Hz, Wide View, 250nits, Narrow Bezel, Non-Glare with 72% NTSC, 100% sRGB, 75.35% Adobe RGB, G-Sync",4 Cell 90WHrs,Full box,Jaeger Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Asus Vivobook X1504VA-NJ069W Silver,10.990.000đ,Máy tính xách tay,Asus,Vivobook X1504VA-NJ069W,,Intel Iris Xe Graphics,,512GB M.2 NVMe™ PCIe® 3.0,1 x M.2 NVMe,M.2 NVMe,"15.6 inch FHD (1920 x 1080) 16:9 aspect ratio, LED Backlit, 60Hz, 250nits, 45% NTSC, Anti-glare display, TÜV Rheinland-certified, 84％Screen-to-body ratio","Wi-Fi 6 (802.11 ax (2x2), Bluetooth 5.2","1x Jack Audio™ 3.5mm 
2 xUSB 3.2 Gen1 Type-A
1 x USB 3.2 Gen1 Type-C
1 x USB 2.0
1 x HDMI1.4
1 x Audio combo",720p HD camera with privacy shutter,vân tay,Windows 11 Home,"3 cell 42 Wh , Pin liền",35.97 x 23.25 x 1.79 cm,1.70 kg,,"Intel Core i3-1315U (Up to 4.50GHz, 10MB Cache)",,không,Bạc,,,,,,,,,,,,,,,,,,8GB Onboard DDR4 ( 1 Khe cắm / Hỗ trợ tối đa 8GB ),,,,Harman Kardon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Dell Gaming G15 5530 i7H165W11GR4060 Xám,37.890.000đ,Máy tính xách tay,Dell,Dell Gaming G15 5530 i7H165W11GR4060,,NVIDIA GeForce RTX 4060 8GB GDDR6,,512GB PCIe NVMe M.2 SSD,,,15.6 inch FHD(1920 x 1080) 165Hz 300 nits WVA Anti-glare LED Backlit Narrow Border Display,"Wi-Fi 6 802.11ax , Bluetooth 5.2","3x USB 3.2 Gen 1
1x Audio jack
1x HDMI 2.1
1 RJ45 Ethernet port",HD (720p) Webcam with single Array Digital Microphone,,Windows 11 Home,3 Cell 56WHrs,357.26 x 274.52 x 26.95 (mm),2.81 kg,,"Intel Core i7-13650HX (upto 4.90 GHz, 24MB)",,không,Dark Shadow Grey,,,,,,,,,,,,,,,,,,"16GB (2x8GB) DDR5 4800MHz (2x SO-DIMM socket, up to 32GB SDRAM)",,,,Stereo speakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Asus Vivobook 15 X1504VA-NJ070W Xanh,14.890.000đ,Máy tính xách tay,Asus,Vivobook 15 X1504VA-NJ070W,,Intel Iris Xe Graphics,,512GB M.2 NVMe™ PCIe® 3.0,1 x M.2 NVMe,M.2 NVMe,"15.6 inch FHD (1920 x 1080) IPS, 200 nits, 45% NTSC, viền mỏng, chống chói",Intel Wi-Fi 6 (802.11aX) +Bluetooth 5.0,"1 x HDMI 
1 x USB Type C
2 x USB 3.2 Gen 1 Type-C
  1x USB 2.0 Type-A
1 x SD Reader Card
1 x Jack Audio™ 3.5mm
2 x Speaker",720p HD camera,Vân tay,Windows 11 Home,"3 cell 42 Wh , Pin liền",35.97 x 23.25 x 1.99 cm,1.7 kg,,"Intel® Core™ i5-1335U (1.30GHz up to 4.60GHz, 12MB Cache)",,Không có,xanh,,,,,,,,,,,,,,,,,,16GB DDR4 (8GB DDR4 on board + 8GB DDR4 SO-DIMM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Asus Vivobook S 14 OLED S3405VA-KM071W Đen,22.200.000đ,Máy tính xách tay,Asus,Vivobook S 14 OLED S3405VA-KM071W,,Intel® Iris® Xe Graphics,,512GB M.2 NVMe™ PCIe® 3.0,,,"14inch WQXGA+(2880 x 1800) OLED, 90Hz, 100% DCI-P3, 400nits, Non-touch,","Wi-Fi 6 (802.11 ax (2x2), bluetooth 5.0","1x USB 3.2 Gen 2 Type-C support display / power delivery
1x 2x USB 3.2 Gen 1 Type-A
1x USB 2.0 Type-A
1x HDMI  2.1 TMDS
1x Jack Audio™ 3.5mm 
1x DC-in",720p HD camera With privacy shutter,,Windows 11 Home,3 cell 63WHrs,31.71 x 22.25 x 1.89 ~ 1.89 cm,1.4Kg,,"Intel® Core™ i9-13900H (2.60GHz up to 5.40GHz, 24MB Cache)",,không,Black,,,,,,,,,,,,,,,,,,"16GB (8GB Onboard+8GB SO-DIMM) DDR4 3200MHz (1x SO-DIMM socket, up to 16GB)",Có,,,2 Loa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bàn phím tiêu chuẩn - Backlit Chiclet Keyboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop MSI Modern 15 B13M 297VN Đen,17.890.000đ,,,MSI Modern 15 B13M 297VN,,Intel Iris Xe Graphics,,,1 x M.2 NVMe,M.2 NVMe,"15.6 inch Full HD ( 1920 x 1080 ) IPS-Level , 60Hz, 45% NTSC",,"1 x HDMI 
1 x USB Type C / DisplayPort / Power Delivery
1 x USB 3.2 
2 x USB 2.0
1 x DC-in
1 x MicroSD Reader
1 x Jack Audio™ 3.5mm",HD 720p 30fps,,Windows 11 Home,"3 cell 40 Wh , Pin liền",359 x 241 x 19.9 mm (Dài x Rộng x Dày),1.7 kg,,,,,,,,"Intel Core i7-1355U (tối đa 5.00 GHz, 12MB)",16GB Onboard DDR4 3200MHz Hỗ trợ tối đa 16GB ),,,,,,Đen,,,,,,,,,,,,2 loa,,,MSI,,,,,,Bluetooth 5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512GB SSD M.2 NVMe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chiclet Keyboard, Single LED - Trắng",WiFi 802.11ax (Wifi 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Asus Vivobook 14 OLED A1405VA-KM095W Bạc,16.990.000đ,Máy tính xách tay,Asus,Vivobook 14 OLED A1405VA-KM095W,,Intel® Iris® Xe Graphics,,512GB M.2 NVMe PCIe 3.0,,,"14"" 2.8K (2880 x 1800) OLED 16:10, 90Hz 0.2ms, 600nits, 100% DCI-P3, Glossy display, Screen-to-body ratio: 86%, PANTONE Validated, VESA CERTIFIED Display HDR True Black 600","Wi-Fi 6E(802.11ax) (Dual band) 1*1, Bluetooth 5.0","1x USB 2.0Type-A
1x USB 3.2Gen 1 Type-C support power delivery
2x USB 3.2 Gen 1 Type-A
1x HDMI 1.4
1x Jack Audio™ 3.5mm
1x DC-in",720p HD Camera với nắp che vật lí,,Windows 11 Home,"50WHrs, 3S1P, 3-cell Li-ion",31.71 x 22.20 x 1.99 ~ 1.99 cm,1.60 kg,,Intel Core i5-13500H 2.6GHz up to 4.7GHz 18MB,,không,,,,,,,,,,,bạc,,,,,,,,"16GB (8GB Onboard + 8GB) DDR4 3200MHz (1x SO-DIMM socket, up to 16GB SDRAM)",có,,,SonicMaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop HP VICTUS 16-e1107AX 7C140PA Đen,18.950.000đ,Máy tính xách tay,HP,HP VICTUS 16-e1107AX 7C140PA,,NVIDIA GeForce RTX 3050 4GB GDDR6,,,1 x M.2 NVMe,M.2 NVMe,"16.1 inch FHD (1920 x 1080), 144 Hz, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",,"1 x USB Type C / DisplayPort / Power Delivery
1x HDMI 2.1
3 x USB 3.2
1x RJ-45
1x AC smart pin
1x headphone/microphone combo",HD webcam,,Windows 11 Home SL,"4 cell 70 Wh , Pin liền",37 x 26 x 2.35 cm,2.5 kg,,"AMD Ryzen 5-6600H (up to 4.50 GHz, 16MB)",8GB DDR5-4800MHz (1 x 8 GB)( 2 khe),,,,,,,,,,Bluetooth 5.2,,,,,,,,,,,,512GB PCIe® NVMe™ TLC M.2 SSD,,,đen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WiFi 802.11ax (Wifi 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Asus Zenbook 14 OLED UX3402VA-KM085W Xanh,22.990.000đ,,,ZenBook 14 OLED UX3402VA-KM085W,,,,,,,"14-inch WQXGA+(2880 x 1800) OLED 16:10 aspect ratio, 90Hz refresh rate, 600nits peak brightness, 100% DCI-P3 color gamut, VESA CERTIFIED Display HDR True Black 600, 1.07 billion colors, Glossy display, Screen-to-body ratio: 90％",,"1x USB 3.2 Gen 2 Type-A
2x ThunderBolt 4 supports display / power delivery
1x HDMI 2.1 TMDS
1x Jack Audio™ 3.5mm
Micro SD card reader",1080p FHD camera,,Windows 11 Home,"4-cell, 75WHrs",,,,,,,,,,,,,,,,,xanh,,Wi-Fi 6(802.11ax) (2x2),,31.36 x 22.06 x 1.69 ~ 1.69 (cm),,,,,,,,,,,Asus,"Intel Core i5-1340P Gen 13th (12MB Cache, up to 4.6 GHz, 12 cores, 16 Threads)",16GB LPDDR5 Onboard 4800 MHz(Không nâng cấp),512GB M.2 NVMe™ PCIe® 3.0 SSD,Intel Iris Xe Graphics,,Bluetooth 5.2,,1.39 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Support NumberPad
Backlit Chiclet Keyboard",,Harman/Kardon (Premium),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vân tay,,,,,,,,
Laptop Asus Vivobook S 14 Flip TP3402VA-LZ118W Bạc,24.990.000đ,Máy tính xách tay,Asus,Vivobook S 14 Flip TP3402VA-LZ118W,,Intel UHD Graphics,,512GB M.2 NVMe PCIe 3.0 SSD,,,"14 inch WUXGA (1920x1200), cảm ứng, 16:10 aspect ratio, LED Backlit, IPS-level Panel, 300nits, 45% NTSC color gamut, Glossy display, TÜV Rheinland-certified, Touch screen","Wi-Fi 6 (802.11 ax (2x2), bluetooth 5.0","1x USB 3.2 Gen 2 Type-C support display / power delivery
1x USB 3.2 Gen 2 Type-A
1x USB 2.0 Type-A
1x HDMI 2.1 TMDS
1x Jack Audio™ 3.5mm 
1x DC-in",1080p FHD camera With privacy shutter,,Windows 11 Home,"3 cell, 50WHrs",31.32 x 22.76 x 1.89 (cm),1.50 Kg,,"Intel Core i9-13900H (upto 5.40GHz, 24MB)",,không,Bạc,,,,,,,,,,,,,,,,,,"16GB (8GB Onboard+8GB SO-DIMM) DDR4 3200MHz (1x SO-DIMM socket, up to 16GB)",Có,,,2 Loa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bàn phím tiêu chuẩn - Backlit Chiclet Keyboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Asus Vivobook S 14 Flip TP3402VA-LZ031W Bạc,20.290.000đ,Máy tính xách tay,Asus,Vivobook S 14 Flip TP3402VA-LZ031W,,Intel UHD Graphics,,512GB M.2 NVMe™ PCIe® 3.0 SSD,,,"14 inch WUXGA (1920x1200), cảm ứng, 16:10 aspect ratio, LED Backlit, IPS-level Panel, 300nits, 45% NTSC color gamut, Glossy display, TÜV Rheinland-certified, Touch screen","Wi-Fi 6 (802.11 ax (2x2), bluetooth 5.0","1x USB 3.2 Gen 2 Type-C support display / power delivery
1x USB 3.2 Gen 2 Type-A
1x USB 2.0 Type-A
1x HDMI  2.1 TMDS
1x Jack Audio™ 3.5mm 
1x DC-in",1080p FHD camera With privacy shutter,,Windows 11 Home,"3 cell, 50WHrs",31.32 x 22.76 x 1.89 (cm),1.50 Kg,,"Intel Core i5-13500H (upto 4.70GHz, 18MB)",,không,Bạc,,,,,,,,,,,,,,,,,,"16GB (8GB Onboard+8GB SO-DIMM) DDR4 3200MHz (1x SO-DIMM socket, up to 16GB)",Có,,,2 Loa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bàn phím tiêu chuẩn - Backlit Chiclet Keyboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Asus Vivobook 15 OLED A1505VA-L1201W Bạc,21.550.000đ,Máy tính xách tay,Asus,Vivobook 15 OLED A1505VA-L1201W,,Intel® Iris® Xe Graphics,,512GB M.2 NVMe PCIe 3.0,,,"15.6"" FHD (1920 x 1080) OLED 16:9 aspect ratio, 60Hz 0.2ms, 600nits, 100% DCI-P3, Glossy display, Screen-to-body ratio: 86%, PANTONE Validated, VESA CERTIFIED Display HDR True Black 600","Wi-Fi 6E(802.11ax) (Dual band) 1*1, Bluetooth 5.0","1x USB 3.2 Gen 1 Type-C support power delivery
2x USB 3.2 Gen 1 Type-A
1x USB 2.0 Type-A
1x HDMI 1.4
1x Jack Audio™ 3.5mm
1x DC-in",720p HD camera With privacy shutter,,Windows 11 Home,"50WHrs, 3S1P, 3-cell Li-ion",35.68 x 22.76 x 1.99 cm,1.7 kg,,"Intel Core i9-13900H (up to 5.40GHz, 24MB Cache)",,không,,,,,,,,,,,Bạc,,,,,,,,16GB (8GB Onboard + 8GB Sodimm) DDR4 3200MHz,có,,,SonicMaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Asus Vivobook S Flip TN3402YA-LZ026W Bạc,17.390.000đ,Máy tính xách tay,Asus,Vivobook S Flip TN3402YA-LZ026W,,AMD Radeon Graphics,,512GB M.2 NVMe™ PCIe® 3.0 SSD,,,"14 inch WUXGA (1920x1200), cảm ứng, 16:10 aspect ratio, LED Backlit, IPS-level Panel, 300nits, 45% NTSC color gamut, Glossy display, TÜV Rheinland-certified,","Wi-Fi 6 (802.11 ax (2x2)), bluetooth 5.1","1x USB 3.2 Gen 2 Type-C support display / power delivery
1x USB 3.2 Gen 2 Type-A
1x USB 2.0 Type-A
1x HDMI  2.1 TMDS
1x Jack Audio™ 3.5mm 
1x DC-in",1080p FHD camera With privacy shutter,,Windows 11 Home,"3 cell, 50WHrs",31.32 x 22.76 x 1.89 (cm),1.50 Kg,,"AMD Ryzen 5 7530U (upto 4.5GHz, 16MB)",,không,Bạc,,,,,,,,,,,,,,,,,,"16GB (8GB Onboard+8GB) DDR4 3200MHz (1x SO-DIMM socket, up to 16GB)",Có,,,2 Loa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bàn phím tiêu chuẩn - Backlit Chiclet Keyboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Asus Vivobook 15 OLED A1505VA-L1114W Đen,17.490.000đ,Máy tính xách tay,Asus,Vivobook 15 OLED A1505VA-L1114W,,Intel® Iris® Xe Graphics,,512GB M.2 NVMe PCIe 3.0,,,"15.6"" FHD (1920 x 1080) OLED 16:9 aspect ratio, 60Hz 0.2ms, 600nits, 100% DCI-P3, Glossy display, Screen-to-body ratio: 86%, PANTONE Validated, VESA CERTIFIED Display HDR True Black 600","Wi-Fi 6E(802.11ax) (Dual band) 1*1, Bluetooth 5.0","1x USB 3.2 Gen 1 Type-C support power delivery
2x USB 3.2 Gen 1 Type-A
1x USB 2.0 Type-A
1x HDMI 1.4
1x Jack Audio™ 3.5mm
1x DC-in",720p HD camera With privacy shutter,,Windows 11 Home,"50WHrs, 3S1P, 3-cell Li-ion",35.68 x 22.76 x 1.99 cm,1.7 kg,,"Intel® Core™ i5-13500H (18MB Cache, up to 4.7 GHz, 12 cores, 16 Threads)",,không,,,,,,,,,,,Đen,,,,,,,,16GB (8GB Onboard + 8GB Sodimm) DDR4 3200MHz,có,,,SonicMaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Gaming Acer Nitro 5 Tiger AN515-58-50D2,22.790.000đ,Máy tính xách tay,Acer,Nitro 5 Tiger AN515-58-50D2 (NH.QHYSV.005),,NVIDIA® GeForce RTX™ 3060 4GB GDDR6,,512GB SSD NVMe M.2 PCIe Gen 3 x 4,,,"15.6 inch Full HD(1920 x 1080) IPS Panel, 165Hz SlimBezel, Acer ComfyView LED-backlit TFT LCD","WiFi 802.11ax (Wi-Fi 6) , Bluetooth 5.1","2 x USB 3.2 Gen 2 Type-A
1 x USB 3.2 Gen 1 Type-A
1 x USB-C (Thunderbolt 4/ USB 3.2 Gen 2/ Display Port) hỗ trợ sạc PD
RJ45
1 x HDMI 2.1 with HDCP support
1 x Mic-in/ Headphone-out combo jack
1 x DC-in",720p HD audio/video recording,,Windows 11 Home,"4-cell, 57.5Wh",360.4 x 271.09 x 25.9 mm,2.5 kg,,"Intel® Core™ i5-12500H (upto 4.50 GHz, 18MB)","16GB (2 x 8GB) DDR5 4800MHz, 2 slots, up to 32GB",Không có,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
